Year	Ploidy	haplotype	No
2014/2/1	Diploid	no	32
2019/4/25	Tetraploid	no	32
2016/8/22	Diploid	no	32
2015/11/30	Diploid	no	32
2015/10/27	Diploid	no	32
2015/1/28	Diploid	no	32
2019/7/18	no	no	32
2020/8/13	Diploid	no	32
2016/2/17	Diploid	no	32
2014/11/11	Diploid	no	32
2014/11/11	Diploid	no	32
2014/11/11	Tetraploid	no	32
2018/12/7	Diploid	no	32
2019/7/17	Diploid	no	32
2019/4/24	Diploid	no	32
2021/10/7	Diploid	no	32
2021/11/14	Diploid	no	32
2022/6/28	Diploid	no	32
2022/6/24	no	no	32
2023/3/22	Diploid	no	32
2023/3/22	Diploid	no	32
2023/3/22	Diploid	no	32
2023/3/22	Diploid	no	32
2023/3/22	Diploid	no	32
2023/3/22	Diploid	no	32
2023/3/22	Diploid	no	32
2023/5/31	Diploid	no	32
2023/6/26	Diploid	no	32
2023/4/26	Diploid	no	32
2023/5/16	Diploid	no	32
2021/11/3	Diploid	no	32
2021/11/3	Diploid	no	32
2021/11/3	Diploid	no	32
2021/11/3	Diploid	no	32
2021/11/3	Diploid	no	32
2021/11/3	Diploid	no	32
2021/11/8	Diploid	no	32
2022/6/26	Diploid	no	32
2022/8/11	no	no	32
2022/10/28	no	no	32
2021/3/1	Diploid	no	32
2021/1/29	Diploid	no	32
2021/2/5	Diploid	no	32
2021/5/11	no	no	32
2021/5/11	no	no	32
2022/9/29	Diploid	no	32
2023/2/16	Diploid	no	32
2023/4/17	no	no	32
2022/3/14	Diploid	no	32
2022/3/14	no	no	32
2022/3/14	Diploid	no	32
2022/3/14	Diploid	no	32
2022/3/14	Diploid	no	32
2022/3/14	Diploid	no	32
2022/4/28	Diploid	no	32
2023/3/8	Diploid	no	32
2023/3/8	Diploid	no	32
2022/9/22	Diploid	no	32
2021/7/1	Diploid	no	32
2021/7/1	no	no	32
2021/7/1	no	no	32
2021/7/1	no	no	32
2021/7/1	no	no	32
2021/7/1	no	no	32
2021/7/1	no	no	32
2021/7/1	no	no	32
2023/1/17	Diploid	no	32
2021/5/27	Diploid	no	32
2023/6/19	Diploid	no	32
2022/4/25	no	no	32
2022/4/19	Tetraploid	no	32
2022/8/23	Diploid	no	32
2022/8/18	no	no	32
2022/12/1	Diploid	no	32
2021/5/15	Diploid	no	32
2021/7/23	Diploid	no	32
2021/9/27	Diploid	no	32
2022/2/21	Diploid	no	32
2023/7/20	no	no	32
2023/7/20	Tetraploid	no	32
2023/7/20	no	no	32
2022/1/19	Diploid	no	32
2022/12/6	Diploid	no	32
2022/6/4	no	no	32
2022/8/6	no	no	32
2021/10/30	Diploid	no	32
2023/6/15	Diploid	no	32
2022/8/11	Diploid	no	32
2022/9/4	Diploid	no	32
2023/6/13	Tetraploid	no	32
2022/2/9	Diploid	no	32
2022/2/9	Diploid	no	32
2022/2/22	Diploid	no	32
2022/7/11	Diploid	no	32
2021/5/5	Diploid	no	32
2022/10/14	no	no	32
2022/1/4	no	no	32
2022/12/16	Diploid	no	32
2022/12/16	Diploid	no	32
2022/10/4	Diploid	no	32
2023/2/15	Diploid	no	32
2023/4/17	no	no	32
2023/6/29	no	no	32
2023/6/29	no	no	32
2021/4/21	Diploid	no	32
2022/7/31	no	no	32
2021/10/8	Diploid	no	32
2022/2/18	Diploid	no	32
2023/7/31	Tetraploid	no	32
2023/10/25	Tetraploid	no	32
2023/8/29	Diploid	no	32
2023/10/17	no	no	32
2023/10/17	Diploid	no	32
2023/10/17	no	no	32
2023/7/31	Diploid	no	32
2023/9/14	Diploid	no	32
2023/8/5	Tetraploid	haplotype	32
2023/8/5	Tetraploid	haplotype	32
2023/7/11	Tetraploid	no	32
2023/8/22	no	no	32
2023/8/22	no	no	32
2023/8/19	Diploid	no	32
2023/12/14	Diploid	no	32
2023/11/14	Diploid	no	32
2023/11/3	Diploid	no	32
2023/8/26	Diploid	no	32
2023/8/9	no	no	32
2023/10/5	Diploid	no	32
2019/12/24	no	no	31
2019/12/24	no	no	31
2016/7/13	Diploid	no	31
2018/2/8	no	no	31
2017/11/15	Diploid	no	31
2019/1/31	no	no	31
2020/12/22	Diploid	no	31
2020/5/2	Diploid	no	31
2018/11/8	Diploid	no	31
2018/11/8	Diploid	no	31
2011/10/20	Diploid	no	31
2020/10/1	no	no	31
2020/12/1	Diploid	no	31
2018/7/13	no	no	31
2020/5/6	Diploid	no	31
2019/12/5	Diploid	no	31
2017/1/25	Diploid	no	31
2020/1/24	Diploid	haplotype	31
2020/10/8	no	no	31
2020/10/8	no	no	31
2019/2/25	Octoploid	no	31
2014/4/21	no	no	31
2020/9/17	no	no	31
2020/1/31	Diploid	no	31
2014/4/21	no	no	31
2020/9/17	no	no	31
2014/4/21	no	no	31
2014/4/21	no	no	31
2017/12/13	Diploid	no	31
2010/12/26	Diploid	no	31
2020/9/17	Diploid	no	31
2019/2/25	Octoploid	no	31
2014/4/21	Octoploid	no	31
2017/11/13	Hexaploid	no	31
2014/11/20	Diploid	no	31
2019/7/1	Diploid	no	31
2020/11/2	Diploid	haplotype	31
2020/11/2	Diploid	haplotype	31
2020/11/2	no	haplotype	31
2019/4/2	Tetraploid	no	31
2017/6/5	no	no	31
2010/8/29	Diploid	no	31
2020/10/13	no	no	31
2013/9/19	no	no	31
2018/7/13	no	no	31
2018/5/1	no	no	31
2018/2/15	Octoploid	no	31
2020/12/29	Diploid	no	31
2019/11/18	Diploid	no	31
2020/8/1	no	no	31
2020/6/5	no	no	31
2020/5/11	no	no	31
2017/5/25	Diploid	no	31
2019/9/16	Diploid	no	31
2019/6/14	Diploid	no	31
2012/12/27	no	no	31
2020/12/9	Diploid	no	31
2017/3/11	Diploid	no	31
2013/3/24	Diploid	no	31
2020/12/10	no	no	31
2019/7/23	Diploid	haplotype	31
2019/7/23	Diploid	haplotype	31
2018/9/4	Diploid	no	31
2019/8/1	no	no	31
2012/11/13	Diploid	no	31
2014/4/3	Diploid	no	31
2020/12/18	no	no	31
2019/11/25	Diploid	no	31
2020/3/20	no	no	31
2018/6/11	Diploid	no	31
2018/4/30	Diploid	no	31
2019/7/12	no	no	31
2017/10/16	no	no	31
2016/2/5	Diploid	no	31
2016/6/13	no	no	31
2018/8/9	Diploid	no	31
2016/5/26	Diploid	no	31
2018/5/1	Tetraploid	no	31
2020/1/30	no	no	31
2016/12/22	Diploid	no	31
2014/10/28	Diploid	no	31
2021/2/18	Diploid	no	31
2021/7/22	Diploid	no	31
2021/7/22	Diploid	no	31
2021/7/22	no	no	31
2022/5/25	no	no	31
2022/8/30	Diploid	no	31
2022/8/30	Diploid	no	31
2022/8/30	Diploid	no	31
2022/10/21	Diploid	no	31
2022/10/21	Diploid	no	31
2022/1/5	no	no	31
2021/11/10	Tetraploid	no	31
2022/3/21	no	no	31
2023/4/14	Diploid	no	31
2021/1/1	Hexaploid	no	31
2021/6/18	Diploid	no	31
2021/9/1	no	no	31
2021/10/1	Diploid	no	31
2021/10/1	Diploid	no	31
2021/10/1	Diploid	no	31
2021/10/1	Diploid	no	31
2021/10/1	Diploid	no	31
2021/11/1	Diploid	no	31
2021/6/14	Diploid	no	31
2021/6/25	Diploid	no	31
2021/6/25	Diploid	no	31
2021/6/25	Diploid	no	31
2021/6/25	Diploid	no	31
2023/5/1	Diploid	no	31
2021/2/15	Diploid	no	31
2021/5/18	Diploid	no	31
2021/5/18	Diploid	no	31
2021/10/25	Diploid	no	31
2021/10/25	Diploid	no	31
2021/10/25	Diploid	no	31
2021/10/25	Diploid	no	31
2021/10/25	Diploid	no	31
2023/2/22	no	no	31
2021/2/26	Diploid	no	31
2021/9/9	Diploid	no	31
2021/10/11	Diploid	no	31
2021/10/11	Diploid	no	31
2022/6/25	Diploid	no	31
2023/5/17	Diploid	no	31
2022/3/23	Diploid	no	31
2022/6/6	Octoploid	no	31
2022/11/4	Diploid	no	31
2021/12/2	no	no	31
2022/6/14	no	no	31
2022/1/5	Diploid	no	31
2022/8/4	no	no	31
2022/12/2	Diploid	no	31
2022/12/7	Diploid	no	31
2023/1/4	Octoploid	haplotype	31
2023/1/4	Octoploid	haplotype	31
2023/1/20	Diploid	no	31
2023/4/10	no	no	31
2023/5/10	no	no	31
2023/5/31	Diploid	no	31
2021/5/22	Diploid	no	31
2022/1/15	Diploid	no	31
2022/6/24	Diploid	no	31
2021/2/1	Diploid	no	31
2021/2/1	Diploid	no	31
2021/2/1	Diploid	no	31
2021/2/1	Diploid	no	31
2021/12/3	Diploid	no	31
2022/2/4	no	no	31
2021/12/17	Diploid	no	31
2021/12/17	Diploid	no	31
2022/4/28	Diploid	no	31
2022/3/29	Diploid	no	31
2021/6/4	no	no	31
2021/6/4	no	no	31
2021/6/26	Diploid	no	31
2021/7/26	Diploid	no	31
2021/9/2	Diploid	no	31
2023/2/14	Diploid	no	31
2023/4/29	Diploid	no	31
2022/6/13	Diploid	no	31
2022/6/13	no	no	31
2022/6/13	Diploid	no	31
2022/6/13	Diploid	no	31
2022/6/18	no	no	31
2021/1/5	Diploid	no	31
2022/3/16	Diploid	no	31
2022/6/17	Diploid	no	31
2023/5/16	Diploid	no	31
2023/5/16	Diploid	no	31
2021/7/16	Diploid	no	31
2022/9/6	Diploid	no	31
2021/7/14	Octoploid	no	31
2021/11/4	Octoploid	haplotype	31
2021/11/4	Octoploid	haplotype	31
2021/11/24	no	no	31
2022/12/12	no	no	31
2021/12/15	Tetraploid	no	31
2023/2/2	Diploid	no	31
2021/3/12	Diploid	no	31
2022/8/5	Diploid	no	31
2023/7/23	no	no	31
2023/8/4	Diploid	no	31
2023/8/4	Octoploid	haplotype	31
2023/8/4	Octoploid	haplotype	31
2023/8/3	Octoploid	haplotype	31
2023/8/3	Octoploid	haplotype	31
2023/9/21	no	no	31
2023/10/2	no	no	31
2023/9/14	Diploid	haplotype	31
2023/9/14	Diploid	haplotype	31
2023/10/27	no	no	31
2023/10/27	no	no	31
2023/8/8	Diploid	haplotype	31
2023/8/8	Diploid	haplotype	31
2023/11/2	Tetraploid	no	31
2023/7/21	no	no	31
2023/7/25	Diploid	no	31
2023/11/15	Diploid	no	31
2023/11/15	Diploid	no	31
2023/11/15	Diploid	no	31
2023/11/15	Diploid	no	31
2023/11/15	Diploid	no	31
2023/11/15	Diploid	no	31
2023/11/15	Diploid	no	31
2023/11/15	Diploid	no	31
2023/11/15	Diploid	no	31
2023/11/15	Diploid	no	31
2023/10/12	no	no	31
2023/12/13	Diploid	no	31
2023/11/27	Octoploid	haplotype	31
2023/11/27	Octoploid	haplotype	31
2023/12/21	Diploid	no	31
2018/7/13	no	no	30
2019/11/14	Diploid	no	30
2019/11/1	Diploid	no	30
2019/4/25	no	no	30
2012/11/25	Diploid	no	30
2020/7/29	Diploid	no	30
2020/1/30	Diploid	no	30
2019/12/20	Diploid	no	30
2012/7/2	Diploid	no	30
2019/10/16	Diploid	no	30
2019/6/18	Diploid	no	30
2009/11/1	Diploid	no	30
2019/1/7	Diploid	no	30
2017/9/13	Diploid	no	30
2017/9/13	no	no	30
2017/10/31	no	no	30
2018/7/13	no	no	30
2018/2/26	Diploid	no	30
2017/9/23	Diploid	no	30
2020/8/9	no	no	30
2020/8/9	Diploid	no	30
2020/8/1	Diploid	no	30
2019/12/23	Diploid	no	30
2020/6/1	Diploid	no	30
2020/6/1	Diploid	no	30
2020/6/23	Diploid	no	30
2016/12/27	Diploid	no	30
2018/6/1	no	no	30
2016/11/7	no	no	30
2020/12/1	no	no	30
2021/2/15	Tetraploid	no	30
2021/12/25	Diploid	no	30
2022/8/1	Diploid	no	30
2021/3/1	Diploid	no	30
2021/1/31	Diploid	no	30
2021/5/1	Diploid	no	30
2022/2/3	Diploid	no	30
2022/2/3	Diploid	no	30
2022/2/3	Diploid	no	30
2022/2/3	Diploid	no	30
2022/2/3	Diploid	no	30
2022/2/3	Diploid	no	30
2022/2/3	Diploid	no	30
2022/2/3	Diploid	no	30
2022/2/3	Diploid	no	30
2022/2/3	Diploid	no	30
2022/2/3	Diploid	no	30
2023/2/7	Diploid	no	30
2023/5/9	no	no	30
2021/5/21	Diploid	haplotype	30
2021/9/9	Diploid	no	30
2023/1/18	no	no	30
2022/10/11	Diploid	no	30
2022/10/19	Diploid	no	30
2022/1/8	no	no	30
2022/1/8	no	no	30
2022/1/8	no	no	30
2022/1/8	no	no	30
2021/4/18	Diploid	no	30
2021/5/27	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2022/11/23	Diploid	no	30
2023/3/1	Diploid	no	30
2023/3/1	Diploid	no	30
2023/10/10	Diploid	haplotype	30
2023/10/10	Diploid	haplotype	30
2023/7/21	Diploid	no	30
2023/7/25	no	no	30
2023/7/25	no	no	30
2023/7/25	no	no	30
2023/9/28	Diploid	no	30
2018/7/13	Tetraploid	no	29
2012/11/21	Diploid	no	29
2017/5/8	Diploid	no	29
2020/1/21	no	no	29
2019/5/2	no	no	29
2019/5/2	no	no	29
2020/10/1	no	no	29
2019/9/12	no	no	29
2018/11/14	Diploid	no	29
2018/7/13	Diploid	no	29
2020/11/29	Diploid	no	29
2020/12/26	no	no	29
2020/6/15	no	no	29
2018/5/28	Diploid	no	29
2018/5/23	no	no	29
2018/5/23	no	no	29
2017/11/27	no	no	29
2019/3/25	no	no	29
2018/5/23	no	no	29
2018/5/23	no	no	29
2017/11/27	no	no	29
2020/5/20	no	no	29
2019/3/25	no	no	29
2017/11/27	no	no	29
2016/9/8	Diploid	no	29
2020/2/26	no	no	29
2018/5/23	no	no	29
2019/6/6	no	no	29
2018/7/10	Diploid	no	29
2018/7/10	Diploid	no	29
2018/12/21	no	no	29
2018/12/21	no	no	29
2018/5/23	no	no	29
2016/9/12	Diploid	no	29
2020/3/24	no	no	29
2018/6/18	Diploid	haplotype	29
2018/5/22	Diploid	no	29
2023/2/11	Tetraploid	no	29
2023/2/11	Tetraploid	no	29
2023/2/11	Tetraploid	no	29
2021/10/25	Tetraploid	no	29
2021/11/8	Diploid	no	29
2021/2/11	Diploid	no	29
2021/3/1	no	no	29
2021/7/5	Diploid	no	29
2021/7/5	Diploid	no	29
2021/7/5	Diploid	no	29
2021/7/5	Diploid	no	29
2022/4/19	no	no	29
2022/4/13	no	no	29
2023/2/4	no	no	29
2023/2/4	no	no	29
2022/5/5	Diploid	no	29
2021/9/13	no	no	29
2021/5/8	Diploid	no	29
2023/3/26	Diploid	no	29
2021/4/19	no	no	29
2022/6/28	Diploid	no	29
2023/2/1	Diploid	no	29
2023/6/19	Diploid	haplotype	29
2023/6/19	Diploid	haplotype	29
2023/5/22	no	no	29
2023/5/22	no	no	29
2021/4/4	Diploid	no	29
2021/10/24	no	no	29
2022/4/4	Diploid	no	29
2023/2/15	no	no	29
2023/3/27	no	no	29
2023/3/27	Diploid	no	29
2023/3/27	Diploid	no	29
2022/2/8	Diploid	no	29
2022/9/23	Diploid	no	29
2022/9/23	Diploid	no	29
2022/11/28	Hexaploid	no	29
2022/11/24	Diploid	no	29
2022/7/25	no	no	29
2022/7/25	no	no	29
2022/7/25	no	no	29
2023/4/25	Diploid	no	29
2023/8/2	Diploid	no	29
2023/8/2	Diploid	no	29
2023/8/2	Tetraploid	no	29
2023/10/17	no	no	29
2023/10/17	no	no	29
2023/8/7	Diploid	no	29
2023/8/7	no	no	29
2023/9/13	no	no	29
2023/10/23	no	no	29
2023/10/23	no	no	29
2023/10/12	Diploid	no	29
2023/9/21	no	no	29
2023/8/17	Diploid	no	29
2023/12/14	no	no	29
2023/12/6	Diploid	no	29
2023/12/18	Diploid	haplotype	29
2023/12/18	Diploid	haplotype	29
2020/8/13	no	no	27
2020/8/13	no	no	27
2020/8/13	no	no	27
2020/8/13	no	no	27
2020/8/13	no	no	27
2011/11/25	Diploid	no	27
2020/8/13	no	no	27
2020/8/13	no	no	27
2020/12/16	no	no	27
2020/8/13	no	no	27
2020/8/13	Diploid	no	27
2014/6/11	Diploid	no	27
2020/12/16	no	no	27
2020/8/13	no	no	27
2020/8/13	no	no	27
2020/1/2	Diploid	no	27
2020/12/16	no	no	27
2020/8/13	no	no	27
2020/8/13	no	no	27
2020/8/13	no	no	27
2020/8/13	no	no	27
2020/12/16	no	no	27
2020/8/13	no	no	27
2019/11/25	no	no	27
2016/4/6	Diploid	no	27
2020/10/24	Diploid	no	27
2019/9/24	Diploid	no	27
2017/12/22	Diploid	no	27
2017/6/27	Diploid	no	27
2019/2/7	no	no	27
2020/2/19	no	no	27
2020/2/19	no	no	27
2019/2/7	no	no	27
2021/10/28	Diploid	no	27
2022/9/12	no	no	27
2022/4/28	Diploid	no	27
2022/4/28	Diploid	no	27
2022/4/28	Diploid	no	27
2022/4/28	Diploid	no	27
2022/4/28	Diploid	no	27
2022/4/28	Diploid	no	27
2022/4/28	Diploid	no	27
2022/4/28	Diploid	no	27
2022/4/28	Diploid	no	27
2022/4/28	Diploid	no	27
2022/4/28	Diploid	no	27
2022/4/28	Diploid	no	27
2022/4/28	no	no	27
2023/6/24	no	no	27
2023/6/24	Diploid	no	27
2021/5/10	no	no	27
2022/7/9	Diploid	no	27
2023/1/19	no	no	27
2022/7/10	Diploid	no	27
2022/7/10	Diploid	no	27
2022/7/10	Diploid	no	27
2021/12/3	Diploid	no	27
2023/4/28	no	no	27
2022/9/15	Diploid	no	27
2023/1/27	no	no	27
2021/8/9	no	no	27
2023/7/21	Diploid	no	27
2023/10/25	Tetraploid	no	27
2023/10/6	Tetraploid	no	27
2023/10/6	Tetraploid	no	27
2023/10/6	Diploid	no	27
2023/10/6	Tetraploid	no	27
2023/11/17	Tetraploid	no	27
2023/12/14	Diploid	haplotype	27
2023/12/14	Diploid	haplotype	27
2020/12/1	no	no	26
2021/9/29	Diploid	no	26
2020/8/9	no	no	24
2019/7/15	no	no	24
2017/4/10	Diploid	no	24
2012/9/9	no	no	24
2020/5/28	no	no	24
2017/4/10	Diploid	no	24
2019/4/22	Diploid	no	24
2017/4/10	Diploid	no	24
2017/4/10	Diploid	no	24
2016/7/8	no	no	24
2018/6/6	Diploid	no	24
2012/11/25	Diploid	no	24
2017/12/5	Diploid	no	24
2014/6/8	no	no	24
2014/6/8	Diploid	no	24
2017/3/28	Diploid	no	24
2020/5/6	Tetraploid	no	24
2019/4/18	no	no	24
2020/9/27	Diploid	no	24
2018/12/7	no	no	24
2020/1/14	no	no	24
2019/6/26	Diploid	no	24
2021/11/9	Diploid	haplotype	24
2021/11/9	Diploid	haplotype	24
2022/11/2	Diploid	no	24
2022/12/5	Diploid	no	24
2022/7/15	Diploid	no	24
2022/7/15	no	no	24
2023/1/23	Diploid	haplotype	24
2022/10/8	no	no	24
2022/7/8	Hexaploid	no	24
2022/11/26	Diploid	no	24
2022/11/26	Diploid	no	24
2021/9/30	no	no	24
2023/3/30	Diploid	no	24
2021/9/3	Tetraploid	no	24
2021/6/17	Diploid	no	24
2021/6/17	Diploid	no	24
2021/6/17	Diploid	no	24
2021/6/17	Diploid	no	24
2021/6/17	Diploid	no	24
2021/6/17	Diploid	no	24
2021/6/17	Diploid	no	24
2022/4/28	no	no	24
2022/4/28	no	no	24
2022/4/28	no	no	24
2022/4/28	no	no	24
2022/1/3	Diploid	no	24
2022/10/28	Diploid	no	24
2022/12/1	Diploid	no	24
2022/12/1	Diploid	no	24
2021/12/8	Diploid	no	24
2022/7/26	no	no	24
2022/2/17	Diploid	no	24
2022/2/11	no	no	24
2022/2/19	Diploid	no	24
2022/8/4	Diploid	no	24
2022/11/3	Diploid	no	24
2023/2/14	Diploid	haplotype	24
2023/2/14	Diploid	haplotype	24
2023/4/3	no	no	24
2023/4/3	no	no	24
2023/3/1	Tetraploid	no	24
2021/1/9	Diploid	no	24
2021/7/17	Diploid	no	24
2022/9/19	Tetraploid	no	24
2022/9/19	Tetraploid	no	24
2022/12/1	no	no	24
2022/12/1	no	no	24
2021/9/13	no	no	24
2021/12/29	Diploid	no	24
2021/12/29	no	no	24
2021/2/22	Diploid	no	24
2023/6/20	Diploid	no	24
2021/11/22	no	no	24
2022/10/18	Diploid	no	24
2022/3/3	Diploid	no	24
2022/4/18	no	no	24
2022/9/6	no	no	24
2023/3/21	no	no	24
2022/9/27	Diploid	no	24
2022/9/27	Diploid	no	24
2023/2/28	Diploid	no	24
2023/10/2	Diploid	no	24
2023/10/2	Diploid	no	24
2023/10/2	no	no	24
2023/10/2	no	no	24
2023/10/2	no	no	24
2023/10/2	no	no	24
2023/10/2	no	no	24
2023/10/2	no	no	24
2023/10/2	no	no	24
2023/10/2	no	no	24
2023/10/2	no	no	24
2023/11/25	no	no	24
2023/11/25	no	no	24
2023/10/5	Diploid	no	24
2023/10/5	Diploid	no	24
2014/7/9	no	no	22
2020/3/10	no	no	22
2020/3/2	no	no	22
2018/5/10	no	no	22
2017/1/30	Diploid	no	22
2017/5/26	Diploid	no	22
2017/1/30	Diploid	no	22
2017/10/9	no	no	22
2019/11/27	Diploid	no	22
2020/4/13	Diploid	no	22
2014/5/18	Diploid	no	22
2020/4/20	Tetraploid	no	22
2019/3/18	Tetraploid	no	22
2015/9/30	Tetraploid	no	22
2020/4/20	Tetraploid	no	22
2020/4/13	Diploid	no	22
2020/4/20	Tetraploid	no	22
2020/4/13	Tetraploid	no	22
2019/3/18	Tetraploid	no	22
2015/4/20	Tetraploid	no	22
2015/4/20	Tetraploid	no	22
2020/5/1	Diploid	no	22
2020/4/20	Tetraploid	no	22
2019/8/28	Diploid	no	22
2012/12/19	Diploid	no	22
2012/8/26	Diploid	no	22
2020/4/20	Tetraploid	no	22
2019/8/28	Diploid	no	22
2017/6/5	no	no	22
2020/1/23	Diploid	no	22
2016/12/22	Tetraploid	no	22
2017/12/8	Diploid	no	22
2017/9/15	Diploid	no	22
2013/10/7	Diploid	no	22
2010/12/26	Diploid	no	22
2023/5/18	Triploid	no	22
2023/4/3	Tetraploid	no	22
2022/9/12	Diploid	no	22
2022/8/10	Diploid	no	22
2022/10/27	no	no	22
2022/10/27	no	no	22
2022/10/27	no	no	22
2022/10/27	no	no	22
2022/10/27	no	no	22
2022/10/27	no	no	22
2022/10/27	no	no	22
2022/10/27	no	no	22
2022/10/27	Diploid	no	22
2022/10/27	no	no	22
2022/10/27	no	no	22
2022/10/27	no	no	22
2022/10/27	no	no	22
2021/4/26	Tetraploid	no	22
2022/4/28	Diploid	no	22
2021/4/15	Tetraploid	no	22
2021/8/9	Tetraploid	no	22
2021/8/9	Tetraploid	no	22
2022/12/6	Diploid	no	22
2022/12/6	Diploid	no	22
2022/12/6	Diploid	no	22
2022/12/6	Diploid	no	22
2022/12/6	Diploid	no	22
2022/12/6	Diploid	no	22
2022/12/6	Diploid	no	22
2022/9/19	Tetraploid	no	22
2022/9/19	Tetraploid	no	22
2022/9/19	Tetraploid	no	22
2022/2/16	no	no	22
2021/4/19	Diploid	no	22
2021/8/5	Tetraploid	no	22
2021/8/5	Tetraploid	no	22
2021/9/6	Diploid	no	22
2022/12/1	Diploid	no	22
2022/4/1	Tetraploid	no	22
2022/3/23	no	no	22
2023/6/2	no	no	22
2021/8/23	Diploid	no	22
2021/8/23	Diploid	no	22
2021/8/23	Diploid	no	22
2022/7/22	Diploid	no	22
2021/6/25	Diploid	no	22
2021/6/25	Diploid	no	22
2021/10/22	no	no	22
2021/10/22	no	no	22
2021/6/3	Diploid	no	22
2022/9/21	no	no	22
2023/1/10	Tetraploid	no	22
2021/6/3	Diploid	no	22
2021/4/23	Tetraploid	no	22
2021/4/23	Tetraploid	no	22
2021/4/23	Tetraploid	no	22
2021/4/23	Tetraploid	no	22
2021/4/23	Tetraploid	no	22
2021/4/23	Tetraploid	no	22
2021/4/23	Tetraploid	no	22
2021/4/23	Tetraploid	no	22
2021/4/23	Tetraploid	no	22
2021/4/23	Tetraploid	no	22
2022/2/14	no	no	22
2023/2/16	no	no	22
2023/2/16	no	no	22
2023/2/16	no	no	22
2023/11/25	Tetraploid	no	22
2023/9/22	Tetraploid	no	22
2023/9/22	Tetraploid	no	22
2023/8/3	no	no	22
2023/9/11	Diploid	no	22
2023/11/18	no	no	22
2023/11/18	no	no	22
2023/12/15	no	haplotype	22
2023/12/15	no	haplotype	22
2019/11/9	Diploid	no	21
2013/6/30	no	no	21
2019/6/19	no	no	21
2020/4/21	no	no	21
2019/7/17	Diploid	no	21
2018/10/31	Diploid	no	21
2016/10/26	Diploid	no	21
2014/1/13	Diploid	no	21
2014/1/13	no	no	21
2011/4/10	no	no	21
2018/2/7	Diploid	no	21
2000/12/14	Diploid	no	21
2020/9/24	Diploid	no	21
2017/2/3	Diploid	no	21
2015/2/2	Diploid	no	21
2019/6/15	no	no	21
2017/1/17	Diploid	no	21
2019/6/15	Diploid	no	21
2019/6/15	Tetraploid	no	21
2019/6/14	no	no	21
2018/3/28	Diploid	no	21
2020/1/14	Tetraploid	no	21
2020/10/19	Tetraploid	no	21
2016/9/5	Tetraploid	no	21
2020/10/19	Tetraploid	no	21
2020/4/28	Tetraploid	no	21
2019/4/4	Tetraploid	no	21
2017/4/21	Tetraploid	no	21
2014/8/22	Tetraploid	no	21
2020/12/11	Diploid	no	21
2016/9/5	Diploid	no	21
2019/7/1	Tetraploid	no	21
2018/11/2	Diploid	no	21
2014/6/10	Diploid	no	21
2014/5/23	Diploid	no	21
2020/12/28	Diploid	no	21
2020/12/7	Diploid	no	21
2018/11/2	Diploid	no	21
2018/8/15	Diploid	no	21
2011/8/28	Diploid	no	21
2014/4/23	Hexaploid	no	21
2017/4/7	Tetraploid	no	21
2013/6/9	no	no	21
2013/6/9	Diploid	no	21
2016/10/31	no	no	21
2020/9/24	no	no	21
2008/4/24	Diploid	no	21
2019/6/14	Tetraploid	no	21
2017/2/3	Diploid	no	21
2019/3/20	no	no	21
2020/9/30	no	no	21
2020/10/15	Diploid	no	21
2020/10/27	Diploid	no	21
2019/6/15	no	no	21
2020/4/7	no	no	21
2019/6/14	no	no	21
2019/6/14	no	no	21
2017/2/3	Diploid	no	21
2018/1/30	Diploid	no	21
2018/1/30	Diploid	no	21
2019/6/15	no	no	21
2019/6/15	no	no	21
2019/6/19	no	no	21
2020/1/1	no	no	21
2019/6/15	no	no	21
2019/6/14	Diploid	no	21
2013/6/30	Diploid	no	21
2019/6/15	no	no	21
2019/6/15	no	no	21
2020/4/30	no	no	21
2016/5/10	Octoploid	no	21
2020/12/1	no	no	21
2019/6/15	no	no	21
2020/8/3	no	no	21
2020/11/5	no	no	21
2020/7/3	no	no	21
2018/12/7	no	no	21
2015/6/1	no	no	21
2019/6/15	Tetraploid	no	21
2013/6/9	Diploid	no	21
2019/6/14	no	no	21
2019/6/14	no	no	21
2019/6/14	no	no	21
2019/11/12	no	no	21
2019/6/14	no	no	21
2019/6/15	no	no	21
2019/6/15	no	no	21
2019/6/15	Diploid	no	21
2019/6/14	no	no	21
2014/5/29	no	no	21
2020/5/19	no	no	21
2016/4/2	Diploid	no	21
2015/6/9	Diploid	no	21
2014/5/16	Diploid	no	21
2020/4/9	Triploid	no	21
2019/6/14	Diploid	no	21
2013/6/30	Tetraploid	no	21
2013/8/27	no	no	21
2011/8/7	no	no	21
