No	ScaffoldN50	HiC	T2T
48	99160.00 	no	yes
48	98950.00 	no	yes
18	98900.00 	yes	yes
48	98850.00 	no	yes
44	98750.00 	No_info	yes
26	98652.00 	yes	yes
48	98450.00 	no	yes
22	98351.61 	yes	yes
46	97710.00 	yes	yes
58	97184.80 	yes	yes
6	96940.00 	yes	yes
6	96900.00 	yes	yes
46	96420.00 	yes	yes
57	96300.00 	yes	yes
22	95944.51 	yes	yes
22	95880.00 	no	yes
33	95700.00 	yes	yes
12	95500.00 	yes	yes
6	94823.72 	yes	yes
10	93900.00 	yes	yes
22	93800.00 	yes	yes
22	93800.00 	yes	yes
57	93200.00 	yes	yes
22	93110.90 	yes	yes
6	93110.00 	yes	yes
44	93040.00 	yes	yes
57	92860.00 	yes	yes
70	92480.00 	yes	yes
3	92250.00 	yes	yes
10	92100.00 	yes	yes
48	92050.00 	no	yes
31	91913.00 	yes	yes
22	91740.00 	yes	yes
6	91640.00 	yes	yes
6	91485.46 	yes	yes
48	91330.00 	yes	yes
6	91023.88 	yes	yes
31	91000.00 	No_info	yes
48	90435.44 	yes	yes
10	89640.00 	yes	yes
22	88780.00 	yes	yes
18	88700.00 	yes	yes
44	88620.00 	yes	yes
32	88490.00 	yes	yes
6	88210.00 	yes	yes
22	87600.00 	yes	yes
32	87400.00 	yes	yes
33	87150.00 	yes	yes
10	87030.00 	yes	yes
32	86990.00 	yes	yes
82	86663.72 	yes	yes
37	86307.27 	yes	yes
48	86050.00 	yes	yes
55	85810.00 	yes	yes
48	85795.00 	no	yes
31	85614.00 	no	yes
32	85600.00 	yes	yes
3	85560.00 	yes	yes
6	85316.91 	yes	yes
32	84870.00 	yes	yes
33	84820.00 	yes	yes
46	84792.42 	yes	yes
46	84700.00 	yes	yes
1	84400.00 	yes	yes
32	84375.67 	yes	yes
48	83965.98 	yes	yes
49	83100.00 	No_info	yes
46	83050.00 	yes	yes
31	83000.00 	yes	yes
1	82400.00 	yes	yes
30	82120.00 	yes	yes
48	82050.00 	yes	yes
32	80180.00 	yes	yes
50	80155.79 	yes	yes
48	79900.00 	yes	yes
6	79900.00 	yes	yes
1	79500.00 	yes	yes
31	79320.00 	yes	yes
21	78800.00 	yes	yes
32	78420.00 	yes	yes
32	78270.00 	no	yes
17	78005.22 	yes	yes
29	77000.00 	yes	yes
57	76620.00 	yes	yes
48	76600.00 	yes	yes
18	76230.00 	yes	yes
29	75630.00 	yes	yes
29	75550.00 	yes	yes
57	75190.00 	yes	yes
29	75000.00 	yes	yes
31	74253.00 	no	yes
24	74180.00 	yes	yes
46	73400.00 	yes	yes
42	73370.00 	yes	yes
48	73240.00 	no	yes
48	73240.00 	yes	yes
31	72861.00 	no	yes
48	71609.52 	yes	yes
48	71600.00 	yes	yes
29	71530.00 	yes	yes
24	71484.00 	yes	yes
30	71400.00 	yes	yes
24	71320.00 	yes	yes
9	71100.00 	yes	yes
32	71000.00 	yes	yes
30	70970.00 	yes	yes
21	70790.00 	yes	yes
48	70463.03 	yes	yes
29	70409.78 	yes	yes
29	70350.00 	yes	yes
10	70100.00 	yes	yes
12	70000.00 	yes	yes
10	69834.49 	no	yes
12	69820.00 	yes	no
31	69640.00 	yes	yes
10	69616.16 	no	yes
31	69520.00 	yes	yes
10	69321.05 	no	yes
33	69300.00 	yes	yes
29	69280.00 	yes	yes
12	69250.00 	yes	yes
83	69188.00 	yes	yes
43	69000.00 	yes	yes
10	68997.46 	no	yes
10	68972.28 	no	yes
48	68700.00 	no	yes
48	68640.50 	yes	yes
10	68504.44 	no	yes
10	68447.10 	no	yes
12	68440.00 	yes	yes
10	68346.91 	no	yes
24	68340.00 	yes	yes
10	68300.00 	yes	yes
10	68291.38 	no	yes
10	68251.07 	no	yes
10	68240.39 	no	yes
10	68221.06 	no	yes
10	68145.91 	no	yes
12	68130.01 	yes	yes
10	68029.35 	no	yes
32	68000.00 	yes	yes
10	67970.06 	no	yes
10	67954.88 	no	yes
10	67928.27 	no	yes
50	67800.00 	yes	yes
27	67730.00 	No_info	yes
10	67668.23 	no	yes
10	67608.58 	no	yes
10	67580.08 	no	yes
10	67567.56 	yes	yes
10	67522.66 	no	yes
10	67412.56 	no	yes
10	67305.32 	no	yes
10	67196.56 	no	yes
10	67143.40 	no	yes
10	67116.07 	no	yes
46	67088.10 	yes	yes
10	67085.10 	no	yes
10	66957.28 	no	yes
18	66924.14 	yes	yes
10	66777.43 	no	yes
29	66740.00 	yes	yes
29	66740.00 	No_info	yes
10	66688.22 	no	yes
10	66500.00 	yes	yes
10	66419.20 	no	yes
58	66250.00 	yes	yes
6	65830.00 	yes	yes
29	65760.00 	yes	yes
21	65580.00 	no	yes
57	65349.00 	yes	yes
48	65127.04 	no	no
24	65070.00 	yes	yes
29	65050.00 	yes	yes
32	65000.00 	yes	yes
31	65000.00 	yes	yes
48	64965.82 	yes	yes
21	64900.00 	yes	yes
29	64860.00 	yes	yes
48	64532.00 	no	no
50	64459.00 	yes	yes
58	64340.00 	yes	yes
32	63759.41 	yes	yes
10	63700.00 	no	yes
12	63334.00 	yes	yes
46	63175.00 	yes	yes
32	63086.24 	yes	yes
50	63070.00 	yes	yes
12	62640.00 	yes	yes
10	62500.00 	yes	yes
22	62200.00 	no	yes
6	62170.00 	yes	yes
27	62130.00 	No_info	yes
27	62127.34 	no	yes
18	61987.00 	yes	yes
21	61872.43 	yes	yes
48	61300.00 	yes	yes
