No	ScaffoldN50	HiC	T2T
21	25390.00 	no	yes
37	25378.18 	no	yes
30	25370.00 	no	yes
21	25310.00 	yes	yes
37	25260.00 	yes	yes
31	25150.00 	no	yes
31	25150.00 	yes	yes
31	25130.00 	yes	yes
21	25091.00 	yes	yes
38	25070.00 	yes	yes
21	24992.00 	yes	yes
21	24753.00 	yes	yes
21	24670.00 	no	yes
24	24660.00 	yes	yes
21	24641.00 	yes	yes
21	24620.00 	no	yes
33	24550.26 	yes	yes
21	24500.00 	no	no
18	24500.00 	no	yes
21	24432.00 	yes	yes
21	24410.00 	yes	yes
18	24400.00 	yes	yes
21	24397.00 	yes	yes
29	24340.00 	yes	yes
21	24200.00 	no	yes
21	24100.00 	no	yes
21	24100.00 	no	yes
54	24000.00 	No_info	no
31	24000.00 	no	yes
54	24000.00 	yes	yes
31	23920.00 	no	yes
24	23920.00 	yes	yes
33	23893.80 	yes	yes
12	23820.00 	yes	yes
21	23800.00 	no	yes
21	23800.00 	no	yes
21	23787.00 	yes	yes
12	23700.00 	yes	yes
12	23500.00 	yes	yes
31	23450.00 	yes	yes
22	23440.00 	yes	yes
12	23373.59 	yes	yes
21	23300.00 	no	yes
83	23200.00 	no	yes
21	23112.00 	yes	yes
65	23100.00 	no	no
48	23016.24 	yes	yes
33	22951.48 	yes	yes
31	22900.00 	yes	yes
31	22856.00 	yes	yes
21	22800.00 	no	yes
48	22800.00 	yes	yes
48	22780.00 	no	yes
27	22766.89 	yes	yes
22	22700.00 	yes	yes
18	22573.60 	yes	yes
31	22555.00 	yes	yes
21	22410.00 	yes	yes
10	22318.55 	yes	yes
33	22200.00 	yes	yes
12	22152.92 	yes	yes
12	22146.50 	yes	yes
27	22112.86 	yes	yes
22	22100.00 	yes	yes
32	22090.00 	yes	yes
48	21996.18 	yes	yes
30	21900.00 	yes	yes
48	21870.00 	yes	yes
27	21832.00 	yes	yes
12	21809.62 	yes	yes
31	21800.00 	no	no
18	21700.00 	yes	yes
16	21700.00 	yes	yes
27	21690.00 	yes	yes
24	21650.00 	yes	yes
48	21600.00 	yes	yes
27	21555.00 	yes	yes
33	21510.00 	yes	yes
22	21500.00 	no	no
33	21500.00 	yes	yes
24	21500.00 	yes	yes
48	21280.00 	yes	yes
33	21220.00 	yes	yes
55	21206.24 	yes	yes
16	21090.00 	yes	yes
83	21000.00 	no	yes
21	20900.00 	yes	yes
33	20860.93 	yes	yes
27	20800.00 	yes	yes
33	20730.00 	no	no
83	20700.00 	yes	yes
33	20690.00 	yes	yes
27	20500.00 	yes	yes
12	20500.00 	yes	yes
33	20480.00 	no	yes
83	20459.00 	yes	yes
32	20440.00 	no	yes
57	20340.00 	no	no
12	20331.46 	yes	yes
48	20300.00 	yes	yes
33	20279.47 	yes	yes
18	20110.00 	yes	yes
24	20104.00 	yes	yes
21	19847.00 	yes	yes
50	19700.00 	no	yes
21	19689.00 	yes	yes
33	19600.00 	yes	yes
21	19590.00 	yes	yes
31	19550.00 	yes	yes
12	19530.79 	yes	yes
55	19492.00 	yes	yes
48	19430.00 	yes	yes
48	19400.00 	yes	yes
12	19300.00 	no	no
87	19230.00 	yes	no
33	19100.00 	yes	yes
24	19000.00 	yes	yes
32	18950.00 	yes	yes
22	18920.00 	yes	yes
48	18900.00 	yes	yes
31	18840.00 	No_info	yes
31	18800.00 	yes	yes
12	18700.00 	yes	yes
32	18660.00 	yes	yes
18	18633.39 	yes	yes
48	18595.00 	no	yes
31	18396.00 	yes	yes
20	18311.00 	yes	yes
17	18280.00 	yes	yes
22	18200.00 	no	no
20	18160.00 	yes	yes
33	17920.00 	yes	yes
31	17800.00 	yes	yes
48	17728.41 	yes	yes
24	17615.38 	yes	yes
31	17610.00 	no	yes
24	17600.00 	yes	yes
18	17571.30 	yes	yes
21	17500.00 	no	no
82	17400.00 	no	no
32	17350.00 	no	yes
85	17300.00 	yes	yes
33	17280.00 	yes	yes
33	17280.00 	yes	yes
33	17154.88 	no	yes
57	17085.00 	yes	yes
33	16874.24 	yes	yes
10	16862.54 	yes	yes
31	16840.00 	no	yes
33	16800.00 	yes	yes
29	16430.00 	yes	yes
12	16430.00 	yes	yes
32	16400.00 	no	yes
27	16120.00 	no	no
12	15933.28 	yes	yes
3	15700.00 	yes	yes
27	15690.00 	yes	yes
32	15600.00 	yes	yes
22	15500.00 	yes	yes
48	15450.00 	yes	yes
33	15423.97 	yes	yes
21	15390.00 	no	yes
27	15370.00 	yes	yes
48	15340.00 	no	yes
12	15198.12 	yes	yes
21	15150.00 	yes	yes
21	15100.00 	no	yes
27	15080.00 	yes	yes
18	15051.31 	no	yes
32	15020.00 	no	yes
21	14963.00 	yes	yes
21	14944.00 	yes	yes
48	14606.00 	no	yes
33	14605.93 	no	yes
12	14600.00 	yes	yes
27	14510.00 	yes	yes
21	14406.32 	no	no
83	14234.89 	yes	yes
12	14200.00 	yes	yes
12	14170.00 	yes	yes
12	14150.00 	yes	yes
30	14100.00 	no	yes
48	14081.00 	no	yes
48	13980.00 	yes	yes
12	13980.00 	No_info	yes
27	13850.00 	yes	yes
10	13672.34 	no	no
3	13614.96 	yes	yes
12	13600.00 	yes	yes
48	13570.00 	yes	yes
34	13520.00 	yes	yes
21	13400.00 	no	no
33	13310.00 	yes	yes
37	13150.00 	No_info	no
48	13103.00 	no	yes
33	13020.00 	yes	yes
59	12900.00 	yes	yes
81	12860.00 	yes	yes
32	12848.00 	yes	yes
12	12800.61 	yes	yes
33	12790.00 	yes	yes
27	12740.00 	yes	yes
3	12700.00 	no	no
48	12679.00 	no	yes
32	12560.00 	no	no
33	12510.00 	yes	yes
22	12500.00 	no	no
33	12350.00 	no	yes
48	12300.00 	yes	yes
30	12300.00 	yes	yes
9	12241.00 	no	no
30	12095.00 	no	yes
33	12030.00 	yes	yes
48	11931.00 	no	no
48	11915.00 	no	yes
18	11860.00 	yes	yes
48	11800.00 	no	yes
33	11730.00 	yes	yes
27	11660.00 	no	no
48	11610.00 	no	yes
30	11500.00 	yes	yes
33	11408.00 	yes	yes
18	11300.00 	no	yes
48	11300.00 	yes	yes
48	11276.00 	no	yes
48	11091.22 	yes	yes
33	11020.00 	no	yes
33	10906.00 	yes	yes
22	10800.00 	no	no
48	10800.00 	yes	yes
48	10741.00 	yes	yes
33	10559.00 	no	yes
48	10390.00 	no	yes
21	10330.00 	no	no
10	10320.00 	yes	yes
18	10307.00 	yes	no
48	10200.00 	no	yes
33	10030.00 	yes	yes
16	9850.00 	no	no
48	9748.00 	no	yes
16	9730.00 	no	no
24	9560.00 	yes	yes
48	9480.00 	no	yes
33	9450.00 	no	no
46	9250.00 	no	yes
37	9220.00 	no	yes
37	9220.00 	no	yes
37	9210.00 	no	yes
37	9210.00 	no	yes
22	9083.00 	yes	yes
50	8980.00 	yes	yes
21	8900.00 	no	no
48	8710.00 	no	no
30	8700.00 	no	yes
48	8681.56 	no	yes
48	8640.00 	no	yes
53	8640.00 	yes	yes
53	8620.00 	yes	yes
24	8510.88 	yes	yes
48	8470.00 	yes	yes
55	8300.00 	no	yes
33	8258.00 	no	yes
48	8240.00 	yes	yes
31	8200.00 	yes	yes
22	8132.55 	No_info	no
22	8100.00 	yes	no
37	8020.00 	yes	no
24	7854.76 	yes	yes
55	7689.00 	yes	yes
12	7630.00 	no	no
55	7600.00 	no	yes
22	7500.00 	yes	yes
30	7470.00 	no	yes
48	7153.00 	no	yes
48	7100.00 	no	no
12	7040.00 	no	no
48	7000.00 	no	yes
48	6950.00 	yes	yes
10	6900.00 	no	yes
21	6900.00 	yes	yes
44	6863.00 	yes	yes
48	6830.00 	yes	yes
30	6730.00 	yes	yes
48	6560.00 	yes	yes
48	6520.00 	no	yes
22	6500.00 	no	yes
48	6226.00 	no	yes
48	6130.00 	no	yes
48	6090.00 	yes	yes
12	6060.00 	yes	yes
9	6000.00 	no	no
48	6000.00 	yes	yes
31	5980.00 	yes	yes
10	5950.00 	no	no
12	5835.65 	yes	yes
21	5650.00 	yes	yes
58	5636.70 	yes	yes
31	5600.00 	no	yes
41	5600.00 	yes	yes
21	5530.00 	yes	yes
27	5520.00 	No_info	no
9	5500.00 	no	no
27	5420.00 	no	no
33	5400.00 	no	no
42	5400.00 	yes	yes
12	5390.00 	yes	yes
48	5370.00 	yes	yes
21	5290.00 	no	yes
46	5289.00 	No_info	no
32	5200.00 	no	yes
48	5165.00 	no	yes
24	5160.00 	no	no
21	5100.00 	no	no
22	5090.00 	no	no
16	5070.00 	yes	yes
27	5050.00 	no	no
46	5050.00 	yes	yes
48	5000.00 	no	yes
64	4900.00 	no	no
50	4900.00 	no	no
30	4680.00 	no	no
48	4680.00 	yes	yes
20	4650.00 	no	no
44	4530.00 	yes	yes
48	4500.00 	yes	yes
18	4500.00 	yes	yes
21	4479.75 	no	no
21	4440.00 	yes	yes
32	4430.00 	no	yes
18	4430.00 	no	yes
48	4358.00 	no	yes
33	4300.00 	no	no
48	4300.00 	yes	yes
21	4251.92 	no	no
12	4230.00 	yes	yes
37	4200.00 	no	no
24	4200.00 	no	yes
48	4140.00 	yes	yes
22	4130.00 	no	no
48	4090.00 	no	no
27	4080.00 	no	no
37	4080.00 	no	yes
37	4080.00 	no	yes
30	4000.00 	no	no
22	4000.00 	no	no
48	4000.00 	no	yes
48	3910.00 	yes	yes
10	3898.80 	yes	yes
16	3870.00 	no	no
16	3870.00 	no	no
18	3840.00 	no	yes
30	3827.70 	no	yes
37	3820.00 	yes	yes
21	3800.00 	yes	yes
55	3760.00 	no	yes
21	3734.90 	no	no
30	3700.00 	no	no
10	3700.00 	yes	yes
10	3690.00 	no	yes
48	3670.00 	no	yes
10	3590.00 	no	yes
57	3530.00 	no	yes
29	3510.00 	yes	yes
43	3504.72 	no	yes
33	3460.00 	no	no
37	3430.00 	no	yes
27	3410.00 	yes	no
43	3400.00 	no	yes
30	3400.00 	no	yes
16	3360.00 	yes	yes
55	3300.00 	No_info	no
22	3300.00 	no	no
30	3300.00 	no	yes
10	3300.00 	no	yes
30	3200.00 	yes	yes
58	3170.00 	yes	yes
12	3120.00 	no	no
48	3111.00 	yes	yes
33	3100.00 	no	no
44	3100.00 	no	yes
48	3054.00 	yes	yes
9	3040.00 	no	no
21	3038.16 	no	no
50	3029.00 	no	no
46	3020.00 	no	yes
32	3000.00 	no	yes
48	2995.00 	no	no
18	2980.00 	no	yes
48	2930.00 	no	no
22	2900.00 	no	no
29	2896.84 	yes	yes
63	2890.00 	yes	yes
10	2880.00 	no	yes
32	2821.00 	no	no
32	2818.00 	no	yes
9	2802.13 	no	no
83	2800.00 	no	yes
35	2760.00 	no	no
12	2750.00 	no	no
10	2750.00 	no	yes
32	2700.00 	no	yes
37	2680.00 	no	yes
37	2680.00 	no	yes
24	2631.00 	no	no
12	2620.00 	no	yes
9	2600.00 	yes	yes
32	2540.00 	no	yes
87	2500.00 	no	no
10	2500.00 	no	no
10	2500.00 	no	yes
31	2480.00 	no	no
10	2470.00 	no	yes
38	2450.00 	no	no
37	2450.00 	no	yes
37	2450.00 	no	yes
38	2430.00 	yes	yes
24	2420.00 	no	no
12	2413.00 	No_info	no
48	2400.00 	no	no
48	2400.00 	no	no
21	2400.00 	no	no
30	2380.00 	no	no
9	2355.00 	no	no
48	2320.00 	yes	yes
34	2318.65 	no	no
29	2310.00 	no	no
33	2300.00 	no	no
21	2300.00 	no	no
22	2284.00 	no	yes
10	2276.00 	no	no
86	2260.00 	no	no
48	2255.73 	yes	yes
24	2240.00 	no	no
50	2190.00 	yes	yes
37	2170.00 	no	no
10	2170.00 	no	no
29	2160.00 	no	no
21	2160.00 	no	yes
22	2130.00 	yes	yes
54	2120.00 	no	yes
21	2116.00 	No_info	no
32	2102.00 	no	yes
12	2100.00 	no	yes
44	2090.00 	no	no
21	2090.00 	no	no
32	2078.64 	no	no
37	2065.00 	no	no
22	2060.00 	no	no
29	2000.00 	no	yes
10	2000.00 	no	yes
21	1993.05 	no	no
21	1970.00 	no	yes
10	1954.00 	no	no
24	1945.25 	No_info	no
33	1931.00 	no	no
29	1910.00 	yes	yes
27	1900.00 	no	no
48	1900.00 	yes	yes
27	1890.00 	no	no
13	1880.00 	no	no
48	1850.00 	no	no
18	1830.00 	no	no
10	1826.00 	no	yes
48	1810.00 	no	no
48	1800.00 	no	no
30	1800.00 	no	yes
6	1800.00 	no	yes
50	1766.90 	yes	yes
48	1760.00 	no	yes
57	1760.00 	yes	yes
17	1752.00 	no	no
37	1740.00 	no	yes
37	1740.00 	no	yes
49	1717.00 	yes	yes
81	1700.00 	no	no
27	1700.00 	no	no
24	1700.00 	no	no
10	1700.00 	no	yes
24	1690.00 	no	yes
53	1670.00 	no	no
21	1665.73 	no	no
86	1661.00 	no	no
32	1656.19 	no	no
48	1644.94 	yes	yes
50	1640.00 	no	no
27	1630.00 	No_info	no
87	1630.00 	no	yes
27	1600.00 	no	no
48	1600.00 	no	yes
29	1600.00 	no	yes
22	1600.00 	no	yes
30	1591.71 	yes	yes
33	1580.00 	no	no
87	1578.60 	no	no
50	1567.29 	yes	yes
31	1542.00 	no	yes
32	1520.00 	no	yes
12	1506.96 	no	no
87	1500.00 	no	no
87	1500.00 	no	no
32	1500.00 	no	no
31	1500.00 	no	no
21	1500.00 	no	no
33	1500.00 	no	yes
21	1500.00 	no	yes
17	1500.00 	yes	yes
43	1480.00 	no	yes
48	1460.00 	yes	yes
87	1444.00 	no	yes
10	1434.00 	no	no
16	1430.00 	yes	yes
32	1426.00 	no	no
17	1422.00 	yes	yes
16	1420.00 	yes	yes
87	1400.00 	no	no
84	1400.00 	no	no
87	1390.00 	no	no
16	1390.00 	no	no
12	1383.40 	no	no
10	1380.00 	no	no
67	1360.00 	no	no
29	1350.00 	no	yes
10	1318.00 	no	yes
48	1310.15 	no	yes
12	1300.00 	no	no
87	1300.00 	no	yes
46	1300.00 	no	yes
33	1300.00 	no	yes
31	1300.00 	no	yes
32	1290.00 	no	yes
30	1290.00 	yes	yes
33	1280.00 	no	no
24	1272.00 	no	no
87	1270.00 	no	no
49	1270.00 	no	yes
32	1270.00 	no	yes
48	1260.00 	no	no
6	1260.00 	no	no
12	1260.00 	yes	no
21	1260.00 	no	yes
9	1260.00 	no	yes
12	1260.00 	yes	yes
10	1245.00 	no	no
10	1236.73 	no	no
33	1235.00 	yes	yes
87	1233.00 	no	no
10	1230.00 	no	yes
29	1220.00 	no	no
21	1220.00 	no	no
12	1200.00 	no	no
87	1200.00 	no	yes
10	1200.00 	no	yes
30	1186.00 	no	no
48	1179.00 	no	no
12	1168.00 	yes	yes
18	1160.00 	no	no
21	1142.70 	no	no
21	1140.00 	no	no
30	1140.00 	no	yes
37	1130.00 	no	yes
37	1130.00 	no	yes
31	1126.36 	no	no
30	1100.63 	no	no
87	1100.00 	no	no
18	1100.00 	no	no
12	1100.00 	no	no
31	1100.00 	No_info	yes
12	1094.94 	no	no
85	1092.00 	no	no
65	1086.67 	no	no
29	1080.00 	no	no
24	1074.00 	no	no
29	1060.00 	no	no
12	1030.00 	no	no
9	1021.00 	no	yes
12	1020.00 	no	no
12	1020.00 	no	no
21	1000.00 	no	no
48	1000.00 	no	yes
37	1000.00 	no	yes
48	992.72 	No_info	no
21	991.32 	no	no
43	986.50 	no	no
17	985.59 	No_info	no
32	985.00 	no	yes
32	985.00 	no	yes
31	979.00 	no	no
27	975.94 	No_info	no
21	957.00 	no	no
48	950.00 	no	no
24	949.20 	no	no
87	948.00 	no	no
87	942.60 	yes	yes
33	924.96 	no	no
10	920.80 	no	no
18	919.00 	no	no
48	916.30 	yes	yes
29	912.00 	no	no
55	888.00 	no	no
21	885.33 	no	no
48	884.95 	no	yes
10	884.43 	no	no
27	857.17 	No_info	no
32	853.60 	no	yes
21	850.00 	no	yes
38	839.10 	yes	yes
55	836.55 	no	no
29	810.00 	no	no
9	805.96 	no	no
12	795.00 	no	no
12	795.00 	no	no
83	790.00 	no	no
21	788.00 	no	yes
87	784.00 	no	no
22	764.00 	no	yes
21	763.70 	no	no
33	760.47 	yes	yes
6	757.00 	no	no
31	754.00 	no	no
44	753.00 	no	no
87	752.39 	no	no
37	748.67 	yes	yes
33	746.00 	no	no
20	734.54 	no	no
9	730.00 	no	no
48	722.10 	no	no
27	720.00 	no	no
10	713.60 	no	yes
31	712.85 	no	no
21	712.00 	no	no
33	700.00 	no	no
12	699.00 	no	no
33	698.50 	no	no
31	698.00 	no	no
31	697.20 	no	no
18	697.00 	no	no
33	694.00 	no	no
32	692.00 	no	no
32	676.70 	no	no
87	675.00 	No_info	no
20	674.86 	no	no
22	665.80 	no	yes
21	662.61 	no	no
31	656.20 	no	no
48	654.00 	no	yes
32	649.80 	no	no
16	646.80 	no	no
32	640.00 	no	no
16	637.83 	no	no
21	627.60 	no	no
16	623.80 	no	yes
32	621.00 	no	no
30	620.88 	no	no
10	607.92 	no	yes
21	605.44 	no	no
48	604.90 	no	no
87	600.00 	no	no
30	600.00 	no	yes
32	598.67 	yes	yes
21	594.25 	no	no
48	594.00 	no	no
84	589.42 	no	no
32	574.00 	no	no
3	572.00 	no	no
49	570.48 	yes	no
49	569.78 	no	no
3	569.00 	no	no
24	566.63 	no	no
87	566.36 	no	no
33	562.47 	No_info	no
21	557.30 	no	yes
31	553.40 	no	no
24	549.44 	yes	yes
31	548.00 	no	no
87	543.09 	no	no
21	535.32 	no	no
20	533.26 	no	no
29	527.70 	no	yes
32	526.00 	no	yes
10	524.50 	no	yes
6	524.00 	no	yes
37	518.00 	no	no
10	516.10 	no	yes
32	516.06 	no	yes
48	511.10 	no	no
32	510.00 	yes	yes
48	508.00 	no	yes
24	504.00 	no	no
22	503.00 	no	yes
29	496.90 	no	no
33	496.50 	no	no
48	489.60 	yes	yes
21	488.00 	no	yes
31	486.90 	no	no
33	482.00 	no	no
12	478.00 	no	no
66	475.17 	no	no
33	474.00 	no	no
22	473.80 	no	yes
29	471.00 	no	no
48	468.00 	no	no
18	467.90 	no	no
12	466.99 	no	no
37	465.70 	no	no
29	465.16 	no	no
87	465.00 	no	no
29	464.96 	no	no
20	461.00 	no	no
87	460.00 	no	no
33	459.18 	no	no
24	452.03 	no	no
31	452.00 	no	yes
48	451.90 	no	no
16	449.00 	no	no
87	448.38 	no	no
31	445.60 	no	yes
10	445.00 	no	yes
12	444.24 	no	no
48	443.74 	no	no
12	443.00 	no	no
12	440.00 	yes	yes
54	433.00 	no	no
32	421.00 	no	no
24	420.66 	no	no
49	419.20 	no	yes
48	418.75 	yes	yes
49	418.06 	no	yes
32	415.00 	no	yes
43	413.00 	no	yes
9	411.07 	no	no
55	409.50 	no	no
81	407.67 	no	no
65	403.79 	No_info	no
21	403.50 	no	no
32	403.10 	no	no
10	397.60 	No_info	no
48	396.10 	yes	yes
46	394.68 	no	no
33	392.76 	no	no
50	391.00 	no	no
31	390.12 	no	no
24	386.40 	no	yes
33	384.00 	no	no
31	381.50 	no	yes
87	375.90 	no	no
87	373.00 	no	no
29	369.00 	No_info	no
12	368.74 	no	no
84	368.25 	no	no
24	367.00 	no	no
48	363.00 	no	yes
50	359.10 	no	no
21	357.80 	no	no
21	357.80 	no	no
12	357.58 	no	no
18	356.82 	no	no
48	356.17 	yes	yes
87	353.00 	no	no
31	353.00 	no	no
87	342.00 	no	no
31	335.71 	no	yes
24	335.00 	no	no
49	333.00 	no	yes
48	332.63 	yes	yes
21	331.50 	no	no
32	330.63 	yes	yes
49	329.90 	no	no
48	328.70 	no	no
21	328.65 	no	no
48	327.82 	yes	yes
12	324.00 	no	no
6	324.00 	no	no
57	323.85 	no	no
55	317.42 	no	no
48	310.10 	no	no
29	310.00 	no	no
48	308.97 	yes	yes
44	308.00 	no	no
50	303.52 	no	yes
12	303.00 	no	no
31	301.00 	no	yes
48	295.00 	no	no
16	294.80 	no	no
48	294.32 	No_info	no
87	288.60 	no	no
32	287.61 	no	yes
50	287.40 	no	no
35	287.00 	no	no
87	285.50 	no	no
12	283.00 	no	no
48	281.85 	yes	yes
32	280.00 	yes	yes
21	279.30 	no	no
6	277.10 	no	no
63	275.00 	no	no
27	262.52 	No_info	yes
48	262.00 	no	no
87	259.45 	no	no
12	258.14 	no	no
65	246.60 	no	no
33	245.75 	no	no
29	245.00 	no	no
48	242.00 	no	no
48	238.00 	no	no
48	237.60 	no	no
48	233.00 	no	no
29	232.80 	no	no
12	228.00 	no	yes
32	223.00 	no	yes
31	219.60 	no	no
16	218.83 	yes	yes
48	217.00 	no	no
32	216.80 	no	yes
32	214.00 	no	no
48	212.36 	No_info	no
24	209.19 	no	no
83	204.00 	no	no
10	201.00 	no	yes
29	200.00 	no	no
12	200.00 	no	no
31	199.00 	no	no
21	195.84 	no	no
48	194.00 	yes	yes
46	192.00 	no	no
32	192.00 	no	yes
31	191.00 	no	yes
48	190.00 	yes	yes
12	181.56 	No_info	no
32	180.00 	no	no
18	180.00 	no	no
22	176.70 	no	no
48	173.71 	yes	yes
32	173.00 	no	yes
48	171.11 	no	yes
32	170.00 	no	no
31	166.00 	no	no
10	164.10 	no	no
16	164.00 	no	no
48	163.00 	no	no
3	158.00 	no	no
12	157.94 	no	no
10	155.30 	yes	yes
30	154.00 	no	no
48	153.29 	yes	yes
48	153.00 	no	no
65	152.00 	no	no
46	150.00 	no	no
16	149.76 	no	no
29	149.00 	no	no
31	146.00 	no	yes
87	145.90 	no	no
12	145.43 	no	no
29	145.00 	no	no
29	145.00 	no	no
16	145.00 	no	no
16	145.00 	No_info	no
29	145.00 	yes	yes
38	144.70 	no	no
21	140.80 	no	yes
22	140.00 	no	no
21	138.17 	no	no
48	137.86 	no	no
29	135.00 	no	no
21	135.00 	no	no
86	134.90 	no	no
10	134.10 	no	no
48	129.70 	no	no
49	128.74 	no	no
22	126.40 	no	no
6	125.90 	no	yes
32	122.00 	no	yes
48	119.90 	yes	yes
32	119.00 	no	no
48	118.00 	no	no
21	118.00 	no	no
31	116.00 	no	no
87	114.16 	no	no
86	113.22 	no	no
48	111.00 	no	no
12	111.00 	no	no
33	111.00 	no	no
65	110.43 	No_info	no
55	109.50 	no	no
48	109.00 	no	no
32	109.00 	no	no
3	108.71 	no	no
18	108.00 	no	no
65	107.00 	no	no
48	107.00 	no	no
87	105.70 	no	no
18	105.39 	no	no
6	104.86 	no	no
12	104.00 	no	no
30	101.07 	no	no
6	100.21 	No_info	no
21	98.10 	no	no
12	97.64 	no	no
29	97.00 	no	no
12	96.74 	no	no
32	96.00 	no	no
3	96.00 	no	no
21	94.23 	No_info	no
21	93.03 	no	no
31	90.83 	no	no
32	90.00 	no	no
10	89.78 	no	no
37	89.60 	no	no
31	88.11 	no	no
87	87.18 	no	no
18	86.00 	no	no
48	84.90 	no	yes
10	84.70 	no	no
10	84.60 	no	no
10	84.11 	no	no
21	82.80 	no	no
10	82.70 	no	no
48	82.00 	no	no
12	80.95 	no	no
31	80.69 	No_info	no
32	78.11 	no	no
12	78.00 	no	no
84	77.78 	no	no
21	77.56 	no	no
65	77.00 	no	no
32	77.00 	no	no
50	76.50 	no	no
48	76.00 	no	yes
10	75.73 	no	no
21	71.55 	No_info	no
10	70.63 	no	no
48	70.10 	no	no
21	70.00 	no	no
33	67.20 	no	no
16	67.17 	no	no
33	67.00 	no	no
65	66.92 	no	no
10	64.50 	no	no
48	64.00 	no	no
31	63.03 	no	no
32	63.00 	no	no
21	62.32 	no	no
18	62.00 	no	no
10	61.80 	no	no
18	61.50 	no	no
87	60.25 	no	no
10	60.00 	no	no
18	59.34 	no	yes
18	59.00 	No_info	no
10	58.20 	no	no
10	58.20 	no	no
48	57.60 	no	yes
18	56.81 	no	no
87	56.39 	no	no
21	56.30 	no	yes
9	54.54 	no	no
50	53.33 	no	no
10	52.80 	no	no
12	51.02 	no	no
12	50.55 	no	no
9	50.29 	No_info	no
16	49.92 	no	no
46	48.90 	no	no
21	48.55 	no	no
21	48.09 	no	no
46	47.00 	no	no
16	46.98 	no	no
21	46.25 	No_info	no
83	45.80 	No_info	no
65	45.47 	no	no
87	44.73 	no	no
6	44.70 	no	no
21	44.49 	No_info	no
10	44.30 	no	yes
32	44.30 	no	no
33	43.00 	no	no
21	42.60 	no	no
10	42.60 	no	no
18	42.50 	no	no
31	42.28 	no	no
31	37.00 	no	no
55	36.73 	no	no
10	36.30 	no	no
6	35.92 	no	no
21	35.35 	no	no
18	35.10 	no	no
3	35.00 	no	no
21	34.03 	No_info	no
6	33.60 	no	no
6	33.56 	no	no
6	31.50 	no	no
87	31.15 	No_info	no
10	31.10 	no	no
21	30.98 	No_info	no
49	30.48 	no	no
12	30.14 	no	no
32	30.05 	No_info	no
18	28.53 	no	no
48	27.80 	no	no
21	27.63 	No_info	no
31	27.57 	No_info	no
87	27.22 	no	no
12	27.10 	no	no
33	27.00 	no	no
12	26.69 	no	no
9	26.20 	no	no
21	26.19 	No_info	no
48	25.63 	No_info	yes
21	25.20 	no	no
18	25.11 	no	no
21	24.76 	no	no
31	24.60 	no	no
48	23.73 	no	no
49	23.61 	no	no
55	23.60 	no	no
3	23.28 	No_info	no
3	23.00 	no	no
9	22.30 	no	no
37	21.10 	No_info	no
12	21.03 	no	no
24	20.62 	No_info	no
65	20.36 	no	no
21	20.26 	No_info	no
21	19.70 	no	yes
18	19.00 	no	no
29	18.87 	no	no
12	18.66 	no	no
27	18.02 	No_info	no
21	18.00 	no	no
12	17.91 	no	no
21	17.90 	No_info	no
12	16.67 	no	no
63	16.59 	no	no
31	16.20 	no	no
10	16.18 	no	no
69	16.00 	no	no
87	15.66 	no	no
1	15.60 	no	no
33	15.00 	no	no
65	14.05 	no	no
6	13.81 	No_info	no
46	13.70 	No_info	no
35	13.20 	no	no
21	12.98 	No_info	no
33	12.81 	no	yes
32	12.54 	no	no
48	12.10 	no	no
48	11.76 	no	yes
24	11.40 	no	no
84	11.14 	no	no
21	11.13 	No_info	no
31	10.70 	No_info	no
18	10.46 	no	no
32	10.27 	No_info	no
12	10.03 	no	no
87	10.00 	no	no
18	9.65 	No_info	no
21	9.52 	No_info	no
48	9.45 	no	yes
3	9.44 	No_info	no
21	9.41 	No_info	no
18	9.30 	no	no
21	8.75 	No_info	no
16	8.70 	No_info	no
32	7.98 	No_info	no
21	7.84 	no	no
12	7.69 	no	no
21	7.55 	No_info	no
12	7.43 	no	no
12	7.16 	no	no
21	7.13 	No_info	no
65	6.40 	no	no
16	6.40 	No_info	no
12	6.18 	no	no
21	6.07 	No_info	no
21	5.91 	No_info	no
37	5.70 	No_info	no
12	5.68 	no	no
12	5.61 	no	no
12	5.55 	no	no
18	5.41 	no	no
32	5.15 	no	yes
31	5.14 	no	no
21	4.90 	No_info	no
3	4.83 	no	no
32	4.75 	no	no
26	4.75 	no	no
43	4.75 	no	no
21	4.59 	No_info	no
12	4.58 	no	no
12	4.47 	no	no
18	4.40 	no	no
12	4.36 	no	no
32	4.34 	no	yes
21	4.34 	No_info	no
12	4.30 	no	no
16	4.24 	no	no
48	4.10 	no	no
12	3.95 	no	no
31	3.55 	no	no
9	3.42 	no	no
21	3.35 	No_info	no
18	3.22 	no	no
50	3.20 	no	no
33	2.97 	no	no
87	2.92 	no	no
18	2.80 	no	no
31	2.57 	no	no
18	2.46 	No_info	no
21	2.32 	No_info	no
6	1.98 	no	no
21	1.94 	No_info	no
12	1.11 	no	no
21	1.08 	No_info	no
21	1.04 	No_info	no
21	0.90 	No_info	no
33	0.48 	No_info	no
32	0.32 	no	no
