Year	ContigN50
2020	1915.00
2020	783.90
2020	5020.00
2019	113.00
2015	34.00
2015	80.00
2020	28800.00
2020	2300.00
2019	6300.00
2012	135.60
2012	44.90
2020	10000.00
2019	7909.00
2019	3.75
2018	8.20
2020	12.47
2014	3.04
2019	1708.00
2017	46.15
2020	152.70
2017	96.80
2016	30.60
2020	2730.00
2016	30.00
2020	1560.00
2020	22.40
2017	5.94
2017	79.00
2015	18.07
2012	1.43
2014	0.64
2020	39.43
2020	1410.00
2019	2.83
2019	10.30
2017	5.65
2016	1870.00
2019	54.49
2018	62.80
2018	36.90
2020	1176.00
2019	4.30
2020	36.74
2019	364.90
2018	1010.00
2015	26.70
2000-2010	3.83
2018	34.60
2018	35.40
2018	32.21
2018	45.99
2020	1080.00
2016	46.15
2020	4340.00
2018	39.49
2020	5740.00
2019	28.90
2014	56.10
2020	2550.00
2018	32.00
2018	16.18
2017	36.00
2018	11210.00
2017	28.34
2020	447.85
2019	1.10
2018	50.25
2015	20.90
2019	39.32
2019	26.55
2016	81.00
2019	24.89
2018	3600.00
2018	1900.00
2020	59.00
2020	350.00
2020	131.00
2020	156.00
2012	20.13
2018	1430.00
2020	314.31
2020	607.34
2015	16.40
2020	2100.00
2017	5.05
2020	807.00
2020	2800.00
2020	786.13
2020	578.00
2020	9440.00
2019	5000.00
2020	1760.00
2020	8900.00
2020	5650.00
2013	5.81
2016	3.52
2020	1598.61
2019	1.49
2017	25.00
2019	4.86
2019	1218.69
2019	44.70
2020	3480.00
2020	18880.00
2020	2320.00
2019	6990.00
2017	620.00
2000-2010	13.40
2020	3500.00
2019	116.80
2019	97.58
2016	27.70
2014	19.00
2014	43.00
2017	265.90
2020	3860.00
2020	3920.00
2020	459.00
2017	3770.00
2020	65.48
2020	1810.00
2019	13.71
2019	19.32
2020	251.71
2016	31.88
2017	1210.50
2000-2010	158.00
2000-2010	79.10
2020	1.29
2020	1352.00
2018	11.00
2013	45.50
2017	52.00
2020	1590.00
2018	2.46
2020	33.10
2020	62.60
2020	16.10
2020	10000.00
2013	9.17
2018	2.55
2019	68.00
2018	45.26
2015	123.00
2020	2700.00
2013	5.72
2018	27.38
2012	43.10
2019	1830.00
2013	0.47
2016	33.90
2018	6490.00
2020	2001.00
2019	83.24
2020	484.30
2013	39.30
2013	38.80
2013	24.63
2017	90.40
2012	16.48
2018	28.10
2017	59.50
2014	27.90
2018	32.30
2018	14.40
2013	79.72
2014	345.17
2014	350.98
2014	385.89
2013	82.60
2018	28.40
2018	21.00
2019	19.01
2019	0.83
2019	2100.00
2020	112.74
2019	3620.00
2020	32.33
2018	27.00
2020	45.70
2020	48.30
2015	12.80
2015	2.56
2019	10.17
2019	13.09
2017	25.49
2016	52.30
2019	37.56
2020	35.95
2020	26.28
2015	2400.00
2018	18.90
2014	16.10
2018	15.13
2014	25.20
2018	31.90
2014	17.50
2020	43.90
2020	46.49
2015	12.50
2018	9.15
2016	159.00
2014	14.60
2018	37.69
2014	19.00
2018	43.04
2020	13200.00
2020	1100.00
2018	34.23
2016	211.00
2020	1200.00
2019	1400.00
2019	2210.00
2018	9640.00
2018	16970.00
2018	14560.00
2018	946.00
2017	1100.00
2016	188.00
2016	107.00
2000-2010	6.69
2018	1590.00
2000-2010	41.70
2018	21.96
2018	13.65
2017	3.17
2020	49.94
2017	21.98
2020	1120.00
2020	220.89
2017	16.00
2017	13.20
2018	1100.00
2018	8300.00
2019	2550.00
2019	369.00
2018	1770.00
2016	32.69
2020	70.16
2018	43.42
2017	2.34
2019	80.07
2019	11.70
2019	296.00
2016	95.17
2016	34.99
2014	20.60
2018	7.26
2020	5500.00
2014	39.50
2019	897.20
2013	195.40
2011	6.44
2020	29.48
2018	53.29
2013	11.88
2019	0.80
2019	5.16
2019	0.94
2018	464.90
2019	35.00
2013	4.87
2020	17.91
2015	6.76
2013	5.00
2020	10.01
2014	124.50
2016	4.25
2017	25.36
2014	8.21
2019	75.70
2020	51.20
2019	37.00
2020	3.50
2018	34.70
2016	0.42
2019	2.77
2020	842.80
2018	26.54
2019	1990.00
2020	2620.00
2013	40.40
2020	57.70
2017	14.00
2020	1940.00
2000-2010	126.00
2018	16.24
2015	9.50
2018	1.10
2020	28.98
2019	248.70
2018	7.99
2018	6.69
2020	662.00
2019	1020.00
2020	3250.00
2020	63.65
2020	21.50
2019	103.90
2019	82.27
2012	31.80
2020	11500.00
2017	255.40
2013	214.20
2020	1780.00
2019	1151.00
2019	801.00
2018	132.60
2019	24.66
2020	15800.00
2018	37.44
2020	117.00
2019	4490.00
2017	97.00
2017	66.97
2019	1570.00
2012	35.70
2014	6.57
2020	7600.00
2019	1280.00
2016	95.00
2020	2450.00
2018	69.35
2018	6.08
2019	11.45
2020	0.45
2019	28.86
2014	10.10
2020	1200.00
2016	19.60
2015	7.12
2018	91.77
2020	67.22
2020	3080.00
2017	2450.00
2019	63.69
2017	25.40
2017	61.80
2020	2200.00
2000-2010	21.10
2018	3400.00
2018	24000.00
2019	9.72
2016	1.48
