Year	Size
3y	414.00 
20y	414.00 
3y	413.50 
3y	413.00 
3y	412.00 
20y	412.00 
20y	412.00 
20y	411.00 
20y	411.00 
3y	410.68 
3y	410.45 
3y	410.00 
20y	410.00 
20y	410.00 
20y	410.00 
3y	409.50 
20y	409.36 
3y	409.27 
20y	409.00 
3y	409.00 
3y	408.37 
3y	408.19 
3y	408.10 
20y	408.10 
3y	407.10 
3y	406.80 
3y	406.55 
3y	406.10 
3y	406.00 
20y	405.33 
3y	405.18 
3y	405.00 
3y	404.03 
3y	404.00 
20y	404.00 
20y	404.00 
20y	404.00 
3y	403.89 
20y	403.17 
3y	403.10 
20y	403.00 
20y	402.50 
20y	402.00 
20y	402.00 
3y	401.41 
3y	401.00 
20y	401.00 
3y	400.45 
20y	400.00 
3y	399.90 
20y	399.80 
3y	399.80 
3y	399.48 
3y	399.00 
3y	399.00 
3y	399.00 
3y	398.50 
3y	398.00 
3y	398.00 
3y	397.75 
3y	397.71 
20y	397.70 
3y	397.70 
20y	397.00 
20y	397.00 
20y	397.00 
20y	397.00 
20y	396.90 
20y	396.40 
20y	396.00 
3y	396.00 
3y	395.77 
3y	395.60 
3y	395.58 
3y	395.50 
3y	395.40 
3y	395.00 
20y	395.00 
20y	395.00 
3y	394.20 
20y	394.00 
3y	394.00 
3y	394.00 
3y	394.00 
3y	393.80 
3y	393.33 
3y	393.10 
20y	393.00 
3y	393.00 
20y	392.90 
3y	392.89 
3y	392.00 
3y	392.00 
3y	392.00 
3y	392.00 
3y	391.90 
3y	391.56 
3y	391.20 
3y	391.03 
3y	391.01 
3y	391.00 
3y	391.00 
20y	390.30 
20y	390.00 
20y	390.00 
20y	389.00 
20y	388.00 
20y	388.00 
3y	387.70 
3y	387.00 
20y	387.00 
20y	387.00 
20y	386.19 
20y	386.00 
20y	386.00 
3y	385.90 
3y	385.71 
20y	385.20 
3y	385.00 
20y	385.00 
3y	384.59 
3y	384.00 
3y	383.20 
20y	383.00 
20y	383.00 
20y	382.70 
3y	382.64 
3y	382.05 
20y	382.00 
3y	382.00 
3y	382.00 
20y	382.00 
20y	381.90 
3y	381.80 
3y	381.76 
3y	381.27 
20y	381.19 
3y	381.00 
3y	380.10 
3y	380.10 
20y	380.00 
3y	380.00 
3y	379.60 
3y	379.20 
3y	379.20 
3y	379.20 
3y	379.10 
20y	379.00 
3y	378.78 
3y	378.60 
20y	378.00 
3y	378.00 
20y	378.00 
20y	378.00 
3y	377.97 
3y	377.76 
20y	377.30 
3y	377.20 
3y	377.00 
20y	377.00 
20y	377.00 
3y	376.81 
3y	376.40 
3y	376.00 
20y	376.00 
3y	375.80 
20y	375.00 
3y	375.00 
20y	375.00 
20y	374.00 
20y	374.00 
20y	374.00 
20y	373.82 
20y	373.60 
3y	373.31 
20y	373.00 
20y	373.00 
3y	373.00 
20y	373.00 
3y	372.72 
20y	372.00 
3y	372.00 
20y	372.00 
3y	371.76 
20y	371.60 
3y	371.10 
3y	371.04 
3y	371.00 
3y	371.00 
20y	371.00 
3y	370.90 
20y	370.75 
3y	370.00 
20y	370.00 
3y	369.99 
3y	369.30 
3y	369.25 
3y	369.00 
3y	369.00 
3y	368.20 
3y	367.90 
3y	367.67 
3y	367.61 
20y	367.41 
20y	367.00 
20y	366.00 
20y	366.00 
20y	366.00 
3y	365.70 
3y	365.59 
3y	365.00 
3y	364.05 
3y	364.00 
20y	364.00 
20y	363.50 
3y	363.20 
20y	363.00 
20y	362.80 
20y	362.70 
3y	362.30 
3y	362.10 
3y	362.00 
20y	362.00 
3y	361.90 
3y	361.70 
3y	361.70 
3y	361.60 
3y	361.00 
20y	361.00 
20y	361.00 
3y	360.03 
20y	360.00 
3y	359.74 
20y	359.70 
3y	359.63 
3y	359.29 
3y	358.28 
20y	358.00 
20y	358.00 
20y	357.64 
3y	357.60 
20y	357.00 
20y	357.00 
3y	356.60 
20y	356.00 
20y	354.00 
20y	353.50 
20y	353.00 
20y	353.00 
3y	352.84 
20y	352.00 
3y	352.00 
3y	351.50 
20y	351.00 
3y	350.30 
3y	350.20 
20y	350.00 
20y	350.00 
20y	350.00 
20y	350.00 
3y	349.11 
20y	349.00 
20y	349.00 
3y	348.40 
20y	348.38 
3y	347.60 
3y	347.58 
3y	347.54 
20y	347.23 
20y	347.00 
3y	346.58 
20y	346.39 
3y	346.08 
20y	346.00 
20y	344.90 
20y	344.88 
20y	344.86 
20y	344.50 
20y	344.00 
20y	344.00 
20y	344.00 
20y	343.70 
20y	342.29 
20y	342.00 
20y	341.90 
20y	340.80 
20y	340.00 
3y	339.77 
20y	339.77 
3y	339.16 
3y	339.15 
20y	339.00 
20y	339.00 
3y	338.24 
20y	338.13 
20y	338.00 
20y	338.00 
3y	337.00 
20y	337.00 
20y	337.00 
3y	336.48 
20y	336.00 
3y	336.00 
3y	336.00 
20y	335.60 
3y	335.39 
3y	335.14 
20y	335.13 
20y	335.10 
20y	335.00 
20y	334.67 
3y	334.09 
20y	334.00 
20y	334.00 
3y	333.61 
20y	333.00 
3y	332.97 
3y	332.41 
20y	332.34 
20y	332.00 
20y	331.00 
3y	330.19 
20y	330.00 
20y	330.00 
20y	330.00 
3y	329.14 
3y	329.06 
3y	329.00 
20y	328.10 
3y	328.00 
20y	328.00 
3y	327.70 
3y	327.60 
20y	327.00 
20y	326.90 
3y	326.40 
20y	326.00 
3y	325.00 
3y	324.88 
3y	324.74 
20y	324.70 
20y	323.80 
3y	323.60 
3y	323.38 
3y	323.13 
20y	322.00 
20y	320.50 
20y	320.50 
3y	320.38 
20y	320.31 
3y	320.30 
3y	319.66 
20y	319.20 
3y	318.70 
3y	318.60 
20y	318.00 
20y	318.00 
3y	317.00 
20y	317.00 
20y	316.42 
3y	316.00 
3y	316.00 
20y	316.00 
20y	316.00 
3y	315.99 
3y	315.97 
3y	315.88 
3y	315.78 
3y	315.30 
20y	315.10 
20y	314.60 
20y	313.50 
20y	313.40 
3y	313.00 
20y	313.00 
3y	312.97 
3y	312.80 
3y	312.75 
20y	312.60 
3y	311.97 
3y	311.87 
3y	310.51 
20y	310.00 
3y	309.62 
3y	309.40 
3y	309.00 
20y	309.00 
20y	309.00 
20y	308.00 
3y	306.20 
3y	306.08 
20y	306.00 
3y	305.51 
3y	304.99 
20y	304.00 
20y	304.00 
20y	303.80 
20y	303.70 
20y	303.00 
20y	302.99 
3y	302.60 
20y	302.00 
20y	302.00 
20y	301.80 
3y	301.64 
20y	301.40 
3y	301.00 
20y	301.00 
3y	300.78 
20y	300.73 
3y	300.71 
3y	300.50 
3y	300.48 
3y	300.08 
3y	300.00 
20y	300.00 
3y	299.81 
20y	299.00 
3y	298.24 
3y	298.20 
3y	298.04 
3y	297.96 
3y	297.00 
3y	297.00 
20y	297.00 
20y	297.00 
20y	296.30 
3y	295.70 
3y	295.60 
20y	295.50 
3y	295.50 
20y	293.88 
20y	293.70 
20y	293.60 
20y	293.50 
3y	293.30 
3y	293.00 
20y	293.00 
20y	293.00 
20y	292.30 
20y	292.20 
3y	291.70 
20y	291.70 
3y	290.90 
3y	290.40 
3y	290.21 
20y	290.00 
20y	290.00 
20y	289.92 
3y	289.00 
3y	289.00 
3y	288.97 
3y	288.43 
20y	287.50 
3y	286.77 
20y	285.85 
20y	285.50 
3y	284.88 
3y	284.20 
20y	284.20 
20y	284.00 
20y	284.00 
20y	283.80 
20y	283.00 
3y	282.64 
3y	282.59 
3y	282.38 
3y	281.40 
3y	281.12 
20y	281.00 
3y	281.00 
3y	281.00 
3y	280.87 
3y	280.76 
20y	280.33 
3y	280.20 
20y	280.00 
3y	279.04 
3y	276.20 
3y	274.53 
20y	274.00 
20y	274.00 
20y	274.00 
3y	273.71 
20y	273.00 
20y	273.00 
3y	272.40 
20y	272.40 
20y	272.10 
20y	272.00 
20y	272.00 
20y	271.70 
3y	271.68 
20y	271.40 
3y	271.11 
3y	270.80 
3y	270.60 
20y	270.30 
3y	270.21 
20y	269.90 
3y	269.24 
3y	269.10 
3y	269.00 
3y	269.00 
20y	269.00 
20y	268.50 
3y	268.00 
3y	267.56 
3y	267.20 
20y	267.00 
3y	266.60 
3y	266.25 
3y	266.00 
20y	265.70 
20y	265.40 
20y	265.00 
20y	264.90 
20y	264.83 
20y	264.50 
20y	264.00 
20y	263.00 
20y	263.00 
3y	262.00 
3y	262.00 
3y	261.30 
20y	261.00 
3y	260.50 
3y	260.00 
3y	259.43 
3y	259.27 
3y	259.00 
20y	259.00 
3y	258.28 
3y	258.00 
3y	257.50 
3y	257.20 
3y	256.74 
3y	256.20 
20y	256.00 
3y	255.80 
3y	255.05 
3y	255.00 
3y	254.79 
3y	254.38 
20y	254.00 
20y	254.00 
3y	253.63 
3y	253.17 
3y	252.90 
3y	249.70 
3y	249.05 
20y	249.00 
3y	248.89 
20y	248.00 
3y	247.51 
20y	247.50 
3y	247.33 
3y	247.16 
3y	246.00 
20y	246.00 
20y	246.00 
20y	246.00 
20y	245.30 
3y	244.25 
3y	244.10 
20y	244.00 
20y	244.00 
3y	243.80 
20y	243.50 
3y	243.10 
3y	243.00 
20y	243.00 
20y	243.00 
3y	241.72 
3y	241.30 
20y	241.00 
20y	240.58 
3y	240.24 
3y	239.83 
3y	239.80 
3y	239.23 
3y	239.10 
20y	239.10 
3y	239.06 
20y	238.61 
20y	238.00 
3y	237.80 
3y	237.40 
20y	237.00 
3y	236.53 
3y	236.53 
3y	236.40 
3y	236.00 
3y	235.12 
20y	234.72 
3y	234.16 
20y	234.00 
20y	233.70 
3y	233.17 
20y	233.00 
3y	232.77 
3y	232.68 
3y	232.64 
3y	232.04 
20y	232.00 
3y	231.92 
20y	231.80 
3y	231.21 
3y	231.21 
3y	229.59 
3y	229.50 
20y	229.20 
20y	229.00 
20y	228.00 
20y	227.60 
20y	226.20 
20y	225.80 
20y	225.70 
20y	225.70 
3y	225.60 
20y	225.00 
3y	224.71 
20y	224.60 
3y	224.47 
3y	223.80 
3y	223.66 
3y	223.08 
20y	222.70 
20y	222.25 
20y	222.00 
20y	221.14 
20y	221.00 
3y	220.80 
20y	220.80 
3y	220.00 
3y	218.26 
3y	217.58 
3y	216.87 
20y	216.00 
20y	216.00 
20y	215.95 
3y	215.69 
20y	215.00 
20y	215.00 
20y	214.20 
3y	214.17 
3y	213.47 
3y	213.00 
3y	213.00 
20y	212.60 
3y	212.21 
3y	212.06 
3y	212.00 
20y	212.00 
3y	210.25 
3y	209.82 
20y	209.80 
3y	209.27 
20y	209.00 
20y	209.00 
20y	208.00 
3y	207.39 
3y	207.00 
20y	207.00 
20y	206.70 
20y	206.40 
3y	206.26 
3y	206.00 
3y	204.46 
20y	204.00 
3y	203.93 
20y	203.70 
20y	203.40 
20y	203.00 
20y	203.00 
20y	203.00 
20y	202.30 
3y	202.00 
20y	199.60 
20y	199.00 
20y	198.00 
3y	197.97 
3y	197.75 
20y	197.00 
20y	196.00 
20y	192.80 
3y	191.61 
3y	191.61 
20y	184.20 
20y	184.00 
20y	184.00 
20y	183.00 
20y	182.59 
20y	178.00 
20y	177.99 
20y	174.50 
20y	174.00 
20y	174.00 
20y	173.00 
20y	170.42 
20y	170.00 
20y	169.00 
20y	167.70 
20y	166.20 
3y	165.00 
20y	164.60 
20y	164.00 
3y	162.18 
20y	158.00 
20y	157.81 
3y	157.00 
20y	157.00 
20y	156.60 
20y	153.00 
20y	150.00 
20y	148.80 
20y	147.60 
20y	147.40 
20y	147.00 
3y	146.26 
20y	145.00 
20y	144.00 
3y	142.14 
20y	141.90 
20y	141.00 
20y	141.00 
3y	138.49 
20y	138.00 
20y	138.00 
20y	137.09 
20y	136.60 
3y	136.10 
20y	135.70 
20y	134.80 
3y	134.60 
20y	134.20 
3y	134.00 
3y	133.90 
3y	133.70 
3y	133.00 
3y	132.96 
20y	132.80 
3y	132.37 
3y	130.20 
3y	129.20 
3y	127.20 
3y	127.00 
3y	126.10 
20y	126.00 
3y	124.60 
3y	123.90 
3y	122.70 
20y	122.20 
20y	122.00 
20y	121.00 
20y	121.00 
20y	120.36 
3y	120.10 
20y	119.50 
20y	119.33 
20y	119.22 
20y	116.59 
20y	115.80 
20y	115.40 
20y	115.00 
3y	114.00 
3y	113.90 
20y	113.40 
20y	112.30 
3y	111.50 
20y	110.00 
3y	108.89 
20y	108.72 
20y	104.00 
3y	103.80 
20y	102.00 
20y	98.50 
20y	88.00 
20y	82.00 
3y	80.80 
20y	78.50 
20y	74.00 
20y	69.70 
3y	68.17 
20y	65.35 
3y	63.43 
3y	63.08 
3y	62.81 
3y	62.71 
20y	62.50 
3y	62.05 
20y	60.83 
20y	60.80 
20y	59.40 
20y	58.00 
20y	56.80 
20y	56.00 
3y	54.96 
20y	51.99 
20y	51.20 
20y	50.15 
20y	48.80 
20y	46.20 
3y	46.20 
3y	45.70 
3y	43.60 
20y	43.40 
3y	43.00 
3y	41.40 
20y	37.34 
3y	35.50 
3y	35.20 
20y	29.00 
3y	27.90 
20y	27.69 
20y	26.50 
20y	25.30 
20y	24.23 
20y	23.00 
20y	22.90 
20y	21.90 
3y	21.55 
20y	20.90 
20y	20.00 
3y	17.57 
3y	17.45 
20y	17.40 
20y	16.90 
3y	16.70 
20y	15.12 
20y	13.30 
20y	13.20 
20y	12.56 
20y	12.40 
	
	
pan	101.14 
pan	103.89 
pan	106.39 
pan	107.30 
pan	107.33 
pan	107.66 
pan	107.72 
pan	108.17 
pan	108.33 
pan	108.44 
pan	108.68 
pan	108.76 
pan	109.07 
pan	109.31 
pan	109.99 
pan	122.90 
pan	116.90 
pan	129.40 
pan	131.20 
pan	131.20 
pan	132.40 
pan	132.70 
pan	132.70 
pan	134.40 
pan	134.60 
pan	134.70 
pan	134.90 
pan	135.40 
pan	135.60 
pan	135.70 
pan	136.30 
pan	136.40 
pan	136.40 
pan	136.50 
pan	136.60 
pan	137.20 
pan	137.90 
pan	137.90 
pan	138.00 
pan	138.40 
pan	138.60 
pan	138.90 
pan	139.20 
pan	140.30 
pan	140.50 
pan	141.10 
pan	141.80 
pan	143.00 
pan	144.90 
pan	217.80 
pan	232.50 
pan	234.60 
pan	237.40 
pan	270.70 
pan	273.40 
pan	268.60 
pan	268.30 
pan	272.90 
pan	269.00 
pan	274.60 
pan	269.90 
pan	269.10 
pan	268.00 
pan	270.60 
pan	270.60 
pan	268.40 
pan	269.50 
pan	268.40 
pan	268.20 
pan	268.30 
pan	268.90 
pan	274.70 
pan	273.70 
pan	276.00 
pan	269.40 
pan	268.10 
pan	273.00 
pan	267.80 
pan	267.70 
pan	273.40 
pan	276.30 
pan	277.50 
pan	268.50 
pan	267.90 
pan	268.30 
pan	269.70 
pan	276.00 
pan	273.40 
pan	269.40 
pan	273.80 
pan	270.20 
pan	269.00 
pan	268.70 
pan	268.40 
pan	281.30 
pan	268.50 
pan	275.10 
pan	276.50 
pan	270.10 
pan	275.30 
pan	274.60 
pan	270.20 
pan	273.60 
pan	269.90 
pan	270.00 
pan	269.60 
pan	276.70 
pan	268.80 
pan	269.40 
pan	273.20 
pan	273.30 
pan	503.10 
pan	508.10 
pan	502.70 
pan	504.20 
pan	503.60 
pan	518.00 
pan	512.10 
pan	506.40 
pan	231.50 
pan	380.51 
pan	395.00 
pan	238.40 
pan	239.40 
pan	240.10 
pan	241.90 
pan	242.90 
pan	243.70 
pan	247.10 
pan	251.10 
pan	276.00 
pan	304.20 
pan	313.20 
pan	329.38 
pan	331.41 
pan	336.38 
pan	337.46 
pan	339.08 
pan	339.76 
pan	339.83 
pan	339.94 
pan	340.58 
pan	341.37 
pan	341.45 
pan	341.62 
pan	341.86 
pan	341.88 
pan	342.19 
pan	342.78 
pan	342.80 
pan	343.98 
pan	344.70 
pan	346.12 
pan	346.39 
pan	346.72 
pan	346.78 
pan	347.16 
pan	347.60 
pan	348.22 
pan	354.41 
pan	354.70 
pan	355.00 
pan	355.10 
pan	358.00 
pan	358.58 
pan	360.06 
pan	360.28 
pan	360.67 
pan	361.03 
pan	361.17 
pan	361.25 
pan	361.94 
pan	362.20 
pan	362.48 
pan	362.85 
pan	363.40 
pan	363.55 
pan	363.58 
pan	364.17 
pan	364.30 
pan	364.70 
pan	364.82 
pan	364.88 
pan	364.88 
pan	364.95 
pan	365.12 
pan	365.23 
pan	365.29 
pan	365.30 
pan	365.34 
pan	365.38 
pan	365.53 
pan	365.53 
pan	365.69 
pan	365.76 
pan	365.89 
pan	365.98 
pan	366.51 
pan	366.70 
pan	366.70 
pan	366.72 
pan	367.29 
pan	367.31 
pan	367.46 
pan	367.48 
pan	367.56 
pan	367.65 
pan	367.75 
pan	367.92 
pan	368.26 
pan	368.44 
pan	368.70 
pan	368.70 
pan	368.71 
pan	368.80 
pan	368.84 
pan	368.91 
pan	369.15 
pan	369.81 
pan	369.83 
pan	369.87 
pan	370.17 
pan	370.36 
pan	370.41 
pan	370.83 
pan	370.86 
pan	370.89 
pan	371.00 
pan	371.15 
pan	371.15 
pan	371.19 
pan	371.23 
pan	371.28 
pan	371.30 
pan	371.64 
pan	371.64 
pan	371.70 
pan	371.87 
pan	372.10 
pan	372.19 
pan	372.48 
pan	373.10 
pan	373.15 
pan	373.16 
pan	373.35 
pan	373.39 
pan	373.41 
pan	373.71 
pan	373.72 
pan	373.81 
pan	373.83 
pan	374.11 
pan	374.20 
pan	374.37 
pan	374.79 
pan	374.79 
pan	374.82 
pan	374.89 
pan	375.20 
pan	375.22 
pan	375.29 
pan	375.31 
pan	375.36 
pan	375.50 
pan	375.82 
pan	376.01 
pan	376.13 
pan	376.23 
pan	376.33 
pan	376.37 
pan	376.39 
pan	376.60 
pan	376.80 
pan	377.08 
pan	377.12 
pan	377.18 
pan	377.27 
pan	377.51 
pan	377.53 
pan	377.59 
pan	377.81 
pan	377.98 
pan	378.00 
pan	378.13 
pan	378.31 
pan	378.47 
pan	378.53 
pan	378.75 
pan	378.78 
pan	378.90 
pan	378.96 
pan	379.09 
pan	379.19 
pan	379.38 
pan	379.61 
pan	379.81 
pan	379.90 
pan	379.90 
pan	380.00 
pan	380.10 
pan	380.29 
pan	380.43 
pan	380.44 
pan	380.57 
pan	380.60 
pan	380.85 
pan	381.00 
pan	381.08 
pan	381.08 
pan	381.09 
pan	381.25 
pan	381.34 
pan	381.36 
pan	381.37 
pan	381.54 
pan	381.62 
pan	381.62 
pan	381.81 
pan	381.94 
pan	382.04 
pan	382.08 
pan	382.18 
pan	382.33 
pan	382.33 
pan	382.37 
pan	382.51 
pan	382.57 
pan	382.61 
pan	382.83 
pan	382.91 
pan	383.02 
pan	383.02 
pan	383.06 
pan	383.14 
pan	383.30 
pan	383.32 
pan	383.40 
pan	383.47 
pan	383.86 
pan	383.90 
pan	383.91 
pan	384.00 
pan	384.06 
pan	384.10 
pan	384.16 
pan	384.20 
pan	384.24 
pan	384.26 
pan	384.32 
pan	384.34 
pan	384.37 
pan	384.41 
pan	384.51 
pan	384.55 
pan	384.68 
pan	384.71 
pan	384.76 
pan	384.77 
pan	384.79 
pan	384.88 
pan	384.99 
pan	385.07 
pan	385.12 
pan	385.22 
pan	385.43 
pan	385.43 
pan	385.44 
pan	385.49 
pan	385.50 
pan	385.52 
pan	385.63 
pan	385.86 
pan	385.90 
pan	385.92 
pan	385.98 
pan	386.00 
pan	386.08 
pan	386.17 
pan	386.27 
pan	386.36 
pan	386.45 
pan	386.47 
pan	386.50 
pan	386.64 
pan	386.76 
pan	386.76 
pan	386.82 
pan	386.90 
pan	387.08 
pan	387.23 
pan	387.25 
pan	387.42 
pan	387.60 
pan	387.60 
pan	387.60 
pan	387.63 
pan	387.64 
pan	387.80 
pan	387.93 
pan	388.00 
pan	388.02 
pan	388.02 
pan	388.08 
pan	388.21 
pan	388.33 
pan	388.35 
pan	388.37 
pan	388.48 
pan	388.50 
pan	388.54 
pan	388.58 
pan	388.69 
pan	388.71 
pan	388.73 
pan	388.78 
pan	388.80 
pan	388.82 
pan	388.83 
pan	388.90 
pan	388.98 
pan	388.99 
pan	389.00 
pan	389.10 
pan	389.20 
pan	389.24 
pan	389.26 
pan	389.35 
pan	389.50 
pan	389.62 
pan	389.73 
pan	389.81 
pan	389.90 
pan	389.96 
pan	390.10 
pan	390.10 
pan	390.10 
pan	390.48 
pan	390.52 
pan	390.59 
pan	390.62 
pan	390.65 
pan	390.70 
pan	390.80 
pan	390.80 
pan	390.87 
pan	390.90 
pan	391.10 
pan	391.17 
pan	391.19 
pan	391.38 
pan	391.42 
pan	391.50 
pan	391.50 
pan	391.60 
pan	391.72 
pan	391.73 
pan	391.76 
pan	391.80 
pan	391.94 
pan	391.95 
pan	391.99 
pan	392.06 
pan	392.08 
pan	392.11 
pan	392.14 
pan	392.40 
pan	392.45 
pan	392.57 
pan	392.65 
pan	392.68 
pan	392.77 
pan	392.90 
pan	392.94 
pan	392.96 
pan	393.19 
pan	393.40 
pan	393.74 
pan	393.76 
pan	393.80 
pan	393.83 
pan	393.83 
pan	393.88 
pan	393.89 
pan	394.04 
pan	394.07 
pan	394.10 
pan	394.30 
pan	394.36 
pan	394.37 
pan	394.40 
pan	394.44 
pan	394.45 
pan	394.45 
pan	394.47 
pan	394.50 
pan	394.51 
pan	394.54 
pan	394.60 
pan	394.70 
pan	394.79 
pan	394.84 
pan	395.02 
pan	395.02 
pan	395.12 
pan	395.43 
pan	395.48 
pan	395.54 
pan	395.62 
pan	395.83 
pan	395.93 
pan	396.07 
pan	396.25 
pan	396.29 
pan	396.45 
pan	396.45 
pan	396.82 
pan	396.94 
pan	396.96 
pan	397.08 
pan	397.09 
pan	397.18 
pan	397.32 
pan	397.49 
pan	397.62 
pan	397.83 
pan	398.16 
pan	398.33 
pan	398.42 
pan	398.51 
pan	398.82 
pan	399.11 
pan	399.11 
pan	399.26 
pan	399.40 
pan	399.50 
pan	399.53 
pan	399.62 
pan	399.88 
pan	399.89 
pan	399.95 
pan	400.01 
pan	400.05 
pan	400.24 
pan	400.24 
pan	400.39 
pan	400.45 
pan	400.72 
pan	401.11 
pan	401.19 
pan	401.20 
pan	401.61 
pan	402.02 
pan	402.10 
pan	402.49 
pan	402.61 
pan	402.61 
pan	402.80 
pan	402.86 
pan	402.88 
pan	402.97 
pan	403.33 
pan	403.35 
pan	403.50 
pan	403.52 
pan	403.60 
pan	403.71 
pan	403.98 
pan	404.04 
pan	404.09 
pan	404.26 
pan	404.33 
pan	404.45 
pan	405.07 
pan	405.12 
pan	405.17 
pan	405.50 
pan	405.90 
pan	405.92 
pan	406.02 
pan	406.76 
pan	406.85 
pan	406.91 
pan	406.97 
pan	407.01 
pan	407.27 
pan	407.35 
pan	407.47 
pan	407.56 
pan	407.56 
pan	407.73 
pan	407.74 
pan	408.05 
pan	408.09 
pan	408.12 
pan	408.23 
pan	408.27 
pan	408.69 
pan	408.85 
pan	409.39 
pan	409.43 
pan	409.46 
pan	409.60 
pan	409.71 
pan	409.77 
pan	410.22 
pan	410.50 
pan	410.82 
pan	410.88 
pan	411.03 
pan	411.30 
pan	411.38 
pan	411.46 
pan	411.58 
pan	412.01 
pan	412.05 
pan	412.18 
pan	412.34 
pan	412.47 
pan	413.00 
pan	413.07 
pan	413.46 
pan	413.95 
pan	413.95 
pan	413.98 
pan	414.16 
pan	414.18 
pan	414.66 
pan	415.07 
pan	415.43 
pan	415.90 
pan	415.97 
pan	416.34 
pan	416.38 
pan	416.60 
pan	416.79 
pan	417.16 
pan	417.18 
pan	417.28 
pan	417.32 
pan	418.00 
pan	418.24 
pan	418.98 
pan	419.10 
pan	419.24 
pan	420.00 
pan	420.66 
pan	421.00 
pan	421.26 
pan	421.76 
pan	422.40 
pan	422.76 
pan	422.86 
pan	423.00 
pan	426.36 
pan	428.38 
pan	430.05 
pan	432.00 
pan	433.29 
pan	434.64 
pan	447.00 
pan	448.00 
pan	448.00 
pan	448.00 
pan	449.00 
pan	451.00 
pan	451.00 
pan	454.00 
pan	454.00 
pan	460.00 
pan	462.00 
pan	464.00 
pan	465.00 
pan	466.00 
pan	466.50 
pan	467.00 
pan	468.12 
pan	471.98 
pan	474.00 
pan	476.00 
pan	482.00 
pan	486.00 
pan	486.00 
pan	488.00 
pan	489.00 
pan	496.71 
pan	505.00 
pan	506.00 
pan	509.49 
pan	514.80 
pan	515.00 
pan	519.00 
pan	520.00 
pan	521.00 
pan	667.70 
pan	661.10 
pan	652.40 
pan	531.80 
pan	545.00 
pan	548.00 
pan	549.00 
pan	549.29 
pan	554.00 
pan	561.37 
pan	564.70 
pan	566.78 
pan	569.05 
pan	579.96 
pan	599.19 
pan	600.16 
pan	602.22 
pan	615.68 
pan	617.82 
pan	622.14 
pan	623.73 
pan	630.99 
pan	632.55 
pan	636.05 
pan	643.04 
pan	643.38 
pan	654.95 
pan	661.83 
pan	662.07 
pan	662.38 
pan	662.88 
pan	663.59 
pan	664.33 
pan	665.07 
pan	665.44 
pan	666.00 
pan	668.03 
pan	668.75 
pan	672.50 
pan	684.13 
pan	684.56 
pan	685.27 
pan	694.07 
pan	694.98 
pan	702.13 
pan	703.75 
pan	706.04 
pan	706.68 
pan	710.28 
pan	711.27 
pan	712.81 
pan	719.04 
pan	720.68 
pan	721.15 
pan	726.54 
pan	727.32 
pan	731.73 
pan	731.79 
pan	732.56 
pan	734.74 
pan	737.18 
pan	737.50 
pan	738.88 
pan	740.29 
pan	741.94 
pan	749.44 
pan	750.56 
pan	758.36 
pan	763.19 
pan	765.31 
pan	767.19 
pan	767.36 
pan	768.63 
pan	770.00 
pan	771.88 
pan	773.33 
pan	775.58 
pan	776.64 
pan	778.00 
pan	778.00 
pan	779.13 
pan	793.70 
pan	794.41 
pan	796.31 
pan	797.87 
pan	798.64 
pan	800.05 
pan	800.35 
pan	801.81 
pan	802.00 
pan	803.00 
pan	803.43 
pan	805.38 
pan	805.46 
pan	805.53 
pan	809.08 
pan	809.26 
pan	809.84 
pan	809.92 
pan	810.26 
pan	810.81 
pan	810.95 
pan	811.72 
pan	812.51 
pan	812.61 
pan	813.25 
pan	813.28 
pan	813.29 
pan	814.84 
pan	815.77 
pan	815.90 
pan	819.17 
pan	822.38 
pan	823.42 
pan	825.44 
pan	826.02 
pan	826.11 
pan	826.94 
pan	827.34 
pan	827.49 
pan	829.06 
pan	831.48 
pan	832.15 
pan	832.41 
pan	834.09 
pan	834.14 
pan	834.44 
pan	834.59 
pan	834.70 
pan	835.16 
pan	835.30 
pan	835.62 
pan	835.85 
pan	836.06 
pan	836.12 
pan	836.17 
pan	836.74 
pan	836.78 
pan	836.98 
pan	837.44 
pan	837.87 
pan	838.12 
pan	838.34 
pan	838.57 
pan	838.86 
pan	838.90 
pan	838.96 
pan	839.51 
pan	839.70 
pan	840.30 
pan	840.41 
pan	841.40 
pan	841.40 
pan	843.00 
pan	843.51 
pan	843.74 
pan	845.66 
pan	849.00 
pan	852.00 
pan	867.00 
pan	872.32 
pan	877.00 
pan	881.00 
pan	885.32 
pan	899.00 
pan	900.69 
pan	905.01 
pan	916.67 
pan	917.00 
pan	918.00 
pan	926.50 
pan	941.10 
pan	946.00 
pan	948.20 
pan	952.66 
pan	960.00 
pan	963.00 
pan	975.00 
pan	986.00 
pan	987.00 
pan	988.00 
pan	993.00 
pan	995.00 
pan	996.00 
pan	999.90 
pan	1001.00 
pan	1010.00 
pan	1015.00 
pan	1028.00 
pan	1041.00 
pan	1041.43 
pan	1060.00 
pan	1068.29 
pan	1104.00 
pan	1119.00 
pan	1145.85 
pan	1150.00 
pan	1170.00 
pan	1174.58 
pan	1197.00 
pan	1198.00 
pan	1200.00 
pan	1202.00 
pan	1223.00 
pan	1246.08 
pan	1260.00 
pan	1286.60 
pan	1297.00 
pan	1393.40 
pan	1429.32 
pan	1442.00 
pan	1481.38 
pan	1495.23 
pan	712.30 
pan	642.60 
pan	692.60 
pan	714.30 
pan	586.00 
