Year	Size
3y	2070.00 
20y	2067.62 
20y	2050.00 
20y	2050.00 
20y	2048.00 
20y	2042.00 
3y	2030.00 
3y	2020.00 
3y	2012.00 
3y	2000.00 
3y	1992.00 
3y	1990.00 
3y	1990.00 
3y	1960.00 
20y	1940.00 
3y	1940.00 
20y	1930.00 
3y	1922.00 
3y	1920.00 
20y	1914.00 
20y	1907.60 
20y	1901.00 
3y	1884.00 
3y	1865.11 
3y	1860.00 
3y	1859.00 
3y	1850.00 
20y	1850.00 
3y	1840.88 
20y	1840.00 
3y	1840.00 
3y	1826.15 
3y	1800.00 
20y	1790.00 
3y	1790.00 
3y	1790.00 
20y	1790.00 
3y	1780.00 
3y	1776.74 
3y	1766.07 
20y	1750.00 
20y	1750.00 
20y	1740.00 
3y	1740.00 
20y	1740.00 
20y	1730.00 
3y	1728.00 
3y	1718.00 
3y	1710.00 
3y	1700.00 
20y	1700.00 
3y	1694.85 
20y	1694.00 
3y	1690.00 
20y	1680.00 
3y	1680.00 
20y	1679.00 
3y	1671.23 
3y	1670.00 
20y	1670.00 
3y	1665.47 
3y	1658.30 
20y	1647.00 
20y	1637.00 
3y	1630.00 
3y	1620.00 
20y	1619.00 
3y	1618.00 
20y	1614.00 
20y	1614.00 
20y	1610.00 
3y	1590.25 
3y	1590.00 
3y	1588.00 
20y	1580.00 
3y	1580.00 
3y	1570.00 
3y	1557.00 
20y	1556.00 
20y	1550.00 
3y	1550.00 
20y	1548.00 
20y	1540.00 
3y	1536.32 
20y	1536.00 
20y	1535.00 
3y	1530.00 
20y	1521.33 
3y	1512.00 
20y	1510.00 
3y	1510.00 
3y	1510.00 
20y	1500.00 
20y	1500.00 
3y	1500.00 
20y	1500.00 
3y	1495.10 
20y	1488.17 
3y	1482.60 
20y	1480.00 
3y	1477.00 
20y	1475.00 
20y	1471.00 
20y	1470.00 
3y	1470.00 
3y	1460.00 
20y	1456.00 
20y	1448.00 
3y	1444.51 
3y	1440.00 
3y	1424.00 
3y	1421.00 
3y	1417.94 
3y	1416.54 
3y	1416.00 
3y	1400.00 
3y	1399.00 
20y	1395.00 
20y	1390.00 
20y	1390.00 
3y	1380.00 
3y	1380.00 
20y	1370.00 
3y	1370.00 
3y	1370.00 
