Year	Size	Type
3y	70463.03 	scaffold
3y	70409.78 	scaffold
3y	70350.00 	scaffold
3y	70100.00 	scaffold
3y	70000.00 	scaffold
20y	69820.00 	scaffold
20y	69640.00 	scaffold
3y	69520.00 	scaffold
3y	69300.00 	scaffold
3y	69280.00 	scaffold
3y	69250.00 	scaffold
3y	69188.00 	scaffold
3y	69000.00 	scaffold
20y	68700.00 	scaffold
3y	68640.50 	scaffold
3y	68440.00 	scaffold
3y	68340.00 	scaffold
3y	68300.00 	scaffold
3y	68130.01 	scaffold
3y	67800.00 	scaffold
20y	67730.00 	scaffold
3y	67088.10 	scaffold
3y	66924.14 	scaffold
20y	66740.00 	scaffold
3y	66740.00 	scaffold
3y	66500.00 	scaffold
3y	66250.00 	scaffold
3y	65830.00 	scaffold
3y	65760.00 	scaffold
20y	65580.00 	scaffold
20y	65349.00 	scaffold
3y	65127.04 	scaffold
3y	65070.00 	scaffold
3y	65050.00 	scaffold
3y	65000.00 	scaffold
3y	65000.00 	scaffold
3y	64900.00 	scaffold
3y	64860.00 	scaffold
20y	64532.00 	scaffold
3y	64459.00 	scaffold
3y	64340.00 	scaffold
3y	63759.41 	scaffold
20y	63700.00 	scaffold
3y	63334.00 	scaffold
3y	63175.00 	scaffold
3y	63086.24 	scaffold
3y	63070.00 	scaffold
3y	62640.00 	scaffold
3y	62500.00 	scaffold
20y	62200.00 	scaffold
3y	62170.00 	scaffold
20y	62130.00 	scaffold
3y	62127.34 	scaffold
3y	61987.00 	scaffold
3y	61872.43 	scaffold
3y	61300.00 	scaffold
3y	61076.00 	scaffold
3y	61070.66 	scaffold
3y	61040.00 	scaffold
3y	60825.65 	scaffold
20y	60747.00 	scaffold
20y	60464.00 	scaffold
3y	60200.00 	scaffold
20y	60200.00 	scaffold
3y	60190.00 	scaffold
3y	60143.79 	scaffold
3y	60000.00 	scaffold
3y	59971.59 	scaffold
3y	59900.00 	scaffold
20y	59670.00 	scaffold
20y	59480.00 	scaffold
3y	59341.00 	scaffold
3y	59332.94 	scaffold
20y	59300.00 	scaffold
3y	59287.56 	scaffold
20y	59190.00 	scaffold
3y	59100.00 	scaffold
3y	59056.14 	scaffold
20y	58820.00 	scaffold
3y	58622.31 	scaffold
20y	58200.00 	scaffold
3y	58110.60 	scaffold
3y	57960.00 	scaffold
3y	57939.00 	scaffold
20y	57900.00 	scaffold
3y	57900.00 	scaffold
3y	57720.00 	scaffold
3y	57717.00 	scaffold
3y	57412.00 	scaffold
3y	57234.42 	scaffold
3y	56930.96 	scaffold
20y	56930.00 	scaffold
3y	56927.20 	scaffold
3y	56880.00 	scaffold
3y	56670.00 	scaffold
3y	56600.00 	scaffold
20y	56570.00 	scaffold
3y	56380.00 	scaffold
3y	56354.00 	scaffold
20y	56240.00 	scaffold
3y	56229.00 	scaffold
20y	56160.00 	scaffold
3y	56151.84 	scaffold
20y	56000.00 	scaffold
3y	55790.00 	scaffold
3y	55600.00 	scaffold
3y	55540.00 	scaffold
3y	55200.00 	scaffold
3y	55140.00 	scaffold
3y	55000.00 	scaffold
3y	54900.00 	scaffold
3y	54700.00 	scaffold
3y	54547.29 	scaffold
3y	54380.00 	scaffold
3y	54151.47 	scaffold
3y	54120.00 	scaffold
3y	53950.00 	scaffold
20y	53900.00 	scaffold
3y	53880.00 	scaffold
3y	53650.00 	scaffold
20y	53560.00 	scaffold
3y	53440.00 	scaffold
20y	53350.00 	scaffold
20y	53210.00 	scaffold
20y	53200.00 	scaffold
20y	53190.00 	scaffold
20y	53150.00 	scaffold
20y	53000.00 	scaffold
20y	52930.00 	scaffold
3y	52925.00 	scaffold
3y	52472.00 	scaffold
3y	52160.00 	scaffold
3y	52151.26 	scaffold
3y	51890.00 	scaffold
20y	51870.00 	scaffold
3y	51650.00 	scaffold
3y	51620.00 	scaffold
3y	51550.00 	scaffold
20y	51380.00 	scaffold
3y	51109.00 	scaffold
3y	51021.19 	scaffold
3y	51020.00 	scaffold
20y	50800.00 	scaffold
3y	50780.00 	scaffold
20y	50700.00 	scaffold
3y	50595.62 	scaffold
20y	50560.00 	scaffold
3y	50500.00 	scaffold
20y	50400.00 	scaffold
20y	50400.00 	scaffold
3y	50390.00 	scaffold
3y	50180.00 	scaffold
3y	50120.00 	scaffold
3y	50060.00 	scaffold
3y	49729.97 	scaffold
20y	49610.00 	scaffold
3y	49180.00 	scaffold
3y	49109.00 	scaffold
3y	49000.00 	scaffold
3y	48811.12 	scaffold
20y	48760.00 	scaffold
20y	48750.00 	scaffold
3y	48700.00 	scaffold
3y	48657.00 	scaffold
3y	48580.00 	scaffold
3y	48430.00 	scaffold
3y	48300.00 	scaffold
3y	48210.00 	scaffold
20y	48190.00 	scaffold
3y	47970.00 	scaffold
3y	47869.49 	scaffold
20y	47800.00 	scaffold
20y	47800.00 	scaffold
3y	47800.00 	scaffold
3y	47787.76 	scaffold
3y	47643.28 	scaffold
20y	47610.00 	scaffold
3y	47575.56 	scaffold
20y	47530.51 	scaffold
3y	47428.48 	scaffold
20y	47300.00 	scaffold
20y	47050.00 	scaffold
3y	47020.00 	scaffold
3y	46680.00 	scaffold
20y	46660.00 	scaffold
3y	46560.00 	scaffold
3y	46408.85 	scaffold
3y	46400.00 	scaffold
20y	46360.00 	scaffold
3y	46330.00 	scaffold
3y	46240.00 	scaffold
3y	46200.00 	scaffold
3y	45890.00 	scaffold
3y	45700.00 	scaffold
20y	45540.00 	scaffold
20y	45540.00 	scaffold
3y	45533.00 	scaffold
20y	45470.00 	scaffold
3y	45200.00 	scaffold
20y	45000.00 	scaffold
20y	45000.00 	scaffold
3y	44944.00 	scaffold
3y	44940.00 	scaffold
3y	44755.00 	scaffold
20y	44740.00 	scaffold
20y	44610.00 	scaffold
20y	44550.00 	scaffold
3y	44550.00 	scaffold
3y	44500.00 	scaffold
3y	44377.47 	scaffold
3y	44010.00 	scaffold
3y	44000.00 	scaffold
20y	44000.00 	scaffold
3y	43931.00 	scaffold
3y	43867.00 	scaffold
3y	43820.00 	scaffold
3y	43790.00 	scaffold
3y	43770.00 	scaffold
3y	43706.10 	scaffold
3y	43500.00 	scaffold
20y	43410.00 	scaffold
3y	43160.00 	scaffold
3y	43110.00 	scaffold
3y	43104.00 	scaffold
20y	43000.00 	scaffold
20y	42970.00 	scaffold
3y	42880.00 	scaffold
3y	42830.00 	scaffold
3y	42799.00 	scaffold
3y	42683.00 	scaffold
20y	42630.00 	scaffold
3y	42600.00 	scaffold
3y	42598.00 	scaffold
3y	42545.65 	scaffold
3y	42531.00 	scaffold
3y	42400.00 	scaffold
3y	42251.00 	scaffold
3y	42119.73 	scaffold
3y	42050.14 	scaffold
20y	42000.00 	scaffold
3y	41990.00 	scaffold
3y	41900.00 	scaffold
3y	41813.81 	scaffold
3y	41800.00 	scaffold
3y	41800.00 	scaffold
3y	41600.00 	scaffold
3y	41586.01 	scaffold
3y	41550.00 	scaffold
3y	41482.95 	scaffold
20y	41270.00 	scaffold
20y	41200.00 	scaffold
20y	41100.00 	scaffold
3y	41000.00 	scaffold
3y	41000.00 	scaffold
3y	40970.00 	scaffold
20y	40900.00 	scaffold
20y	40800.00 	scaffold
20y	40800.00 	scaffold
3y	40700.00 	scaffold
3y	40570.00 	scaffold
20y	40550.00 	scaffold
3y	40505.05 	scaffold
20y	40470.00 	scaffold
3y	40450.00 	scaffold
20y	40400.00 	scaffold
3y	40100.00 	scaffold
3y	40060.00 	scaffold
20y	39990.00 	scaffold
3y	39990.00 	scaffold
3y	39980.00 	scaffold
20y	39960.00 	scaffold
20y	39900.00 	scaffold
3y	39882.00 	scaffold
20y	39860.00 	scaffold
3y	39800.00 	scaffold
3y	39700.00 	scaffold
20y	39700.00 	scaffold
3y	39611.00 	scaffold
20y	38970.00 	scaffold
3y	38800.00 	scaffold
3y	38780.00 	scaffold
3y	38763.81 	scaffold
3y	38734.00 	scaffold
3y	38700.00 	scaffold
3y	38600.00 	scaffold
3y	38426.34 	scaffold
3y	38400.00 	scaffold
20y	38300.00 	scaffold
20y	38130.00 	scaffold
3y	38100.00 	scaffold
20y	38100.00 	scaffold
3y	37976.76 	scaffold
3y	37842.00 	scaffold
3y	37740.00 	scaffold
20y	37620.00 	scaffold
3y	37580.00 	scaffold
20y	37500.00 	scaffold
3y	37500.00 	scaffold
3y	37430.00 	scaffold
3y	37300.00 	scaffold
20y	37280.00 	scaffold
20y	37140.00 	scaffold
20y	37110.00 	scaffold
3y	37100.00 	scaffold
3y	37100.00 	scaffold
3y	37100.00 	scaffold
3y	37000.00 	scaffold
3y	37000.00 	scaffold
3y	36916.92 	scaffold
3y	36910.00 	scaffold
3y	36820.00 	scaffold
20y	36760.00 	scaffold
3y	36654.00 	scaffold
3y	36593.00 	scaffold
3y	36508.76 	scaffold
3y	36500.00 	scaffold
3y	36440.66 	scaffold
3y	36349.00 	scaffold
3y	36200.00 	scaffold
3y	36180.00 	scaffold
3y	36171.00 	scaffold
20y	36160.00 	scaffold
3y	36115.58 	scaffold
3y	36111.53 	scaffold
20y	36100.00 	scaffold
3y	36100.00 	scaffold
20y	36100.00 	scaffold
3y	36053.00 	scaffold
20y	36020.00 	scaffold
20y	36000.00 	scaffold
20y	35860.00 	scaffold
3y	35770.47 	scaffold
3y	35750.00 	scaffold
20y	35740.00 	scaffold
3y	35733.00 	scaffold
3y	35504.60 	scaffold
20y	35500.00 	scaffold
3y	35130.00 	scaffold
3y	35100.00 	scaffold
3y	35100.00 	scaffold
20y	35000.00 	scaffold
3y	34860.00 	scaffold
20y	34800.00 	scaffold
3y	34602.00 	scaffold
3y	34600.00 	scaffold
3y	34500.00 	scaffold
3y	34496.00 	scaffold
3y	34492.00 	scaffold
3y	34473.00 	scaffold
3y	34460.00 	scaffold
20y	34400.00 	scaffold
3y	34321.03 	scaffold
3y	34270.00 	scaffold
3y	34248.60 	scaffold
3y	34175.56 	scaffold
3y	34030.00 	scaffold
20y	33980.00 	scaffold
3y	33870.28 	scaffold
3y	33800.00 	scaffold
3y	33740.00 	scaffold
3y	33700.00 	scaffold
20y	33600.00 	scaffold
3y	33450.00 	scaffold
3y	33440.00 	scaffold
20y	33280.00 	scaffold
3y	33230.36 	scaffold
20y	33200.00 	scaffold
3y	33100.00 	scaffold
3y	32970.00 	scaffold
20y	32930.00 	scaffold
3y	32837.96 	scaffold
3y	32810.00 	scaffold
3y	32790.00 	scaffold
3y	32500.00 	scaffold
3y	32415.00 	scaffold
20y	32320.00 	scaffold
3y	32314.00 	scaffold
3y	32200.00 	scaffold
3y	32197.00 	scaffold
3y	32070.00 	scaffold
3y	32060.00 	scaffold
3y	31991.71 	scaffold
3y	31930.00 	scaffold
3y	31900.00 	scaffold
3y	31824.32 	scaffold
3y	31810.00 	scaffold
20y	31730.00 	scaffold
3y	31720.00 	scaffold
3y	31692.48 	scaffold
3y	31689.45 	scaffold
3y	31600.00 	scaffold
3y	31580.00 	scaffold
3y	31531.00 	scaffold
3y	31500.00 	scaffold
3y	31458.00 	scaffold
20y	31400.00 	scaffold
3y	31330.00 	scaffold
20y	31330.00 	scaffold
3y	31320.00 	scaffold
3y	31260.00 	scaffold
3y	31200.00 	scaffold
20y	31120.00 	scaffold
3y	31000.00 	scaffold
3y	31000.00 	scaffold
20y	31000.00 	scaffold
3y	30900.00 	scaffold
3y	30876.00 	scaffold
3y	30830.00 	scaffold
3y	30800.00 	scaffold
20y	30790.00 	scaffold
3y	30779.00 	scaffold
3y	30709.57 	scaffold
3y	30700.00 	scaffold
3y	30662.76 	scaffold
3y	30650.00 	scaffold
3y	30499.18 	scaffold
3y	30380.00 	scaffold
3y	30380.00 	scaffold
20y	30300.00 	scaffold
3y	30278.00 	scaffold
3y	30093.00 	scaffold
3y	30000.00 	scaffold
3y	29832.00 	scaffold
20y	29800.00 	scaffold
20y	29760.00 	scaffold
3y	29680.00 	scaffold
3y	29600.00 	scaffold
20y	29520.00 	scaffold
3y	29510.00 	scaffold
3y	29500.00 	scaffold
3y	29500.00 	scaffold
20y	29480.00 	scaffold
3y	29440.00 	scaffold
3y	29439.00 	scaffold
20y	29430.00 	scaffold
3y	29400.00 	scaffold
3y	29400.00 	scaffold
3y	29300.00 	scaffold
20y	29200.00 	scaffold
3y	29200.00 	scaffold
20y	29000.00 	scaffold
3y	29000.00 	scaffold
3y	28960.00 	scaffold
3y	28944.50 	scaffold
3y	28885.29 	scaffold
3y	28850.00 	scaffold
3y	28714.07 	scaffold
3y	28660.00 	scaffold
3y	28549.25 	scaffold
3y	28440.00 	scaffold
3y	28400.00 	scaffold
3y	28400.00 	scaffold
20y	28380.00 	scaffold
3y	28247.03 	scaffold
3y	28154.00 	scaffold
20y	28122.40 	scaffold
3y	28110.00 	scaffold
3y	28020.00 	scaffold
20y	28000.00 	scaffold
3y	27977.32 	scaffold
3y	27968.30 	scaffold
3y	27933.90 	scaffold
3y	27900.00 	scaffold
3y	27890.00 	scaffold
3y	27890.00 	scaffold
20y	27830.00 	scaffold
3y	27791.00 	scaffold
20y	27700.00 	scaffold
3y	27600.00 	scaffold
3y	27510.00 	scaffold
20y	27400.00 	scaffold
3y	27310.00 	scaffold
3y	27300.00 	scaffold
20y	27220.00 	scaffold
3y	27207.88 	scaffold
3y	27100.00 	scaffold
3y	27100.00 	scaffold
3y	27085.76 	scaffold
3y	27000.00 	scaffold
3y	26900.00 	scaffold
3y	26900.00 	scaffold
3y	26870.00 	scaffold
20y	26800.00 	scaffold
3y	26727.50 	scaffold
3y	26540.00 	scaffold
3y	26510.00 	scaffold
3y	26431.20 	scaffold
3y	26414.27 	scaffold
3y	26342.00 	scaffold
3y	26226.00 	scaffold
3y	26200.00 	scaffold
3y	26161.00 	scaffold
3y	26150.00 	scaffold
3y	26142.00 	scaffold
3y	26000.00 	scaffold
3y	26000.00 	scaffold
20y	25840.00 	scaffold
3y	25800.66 	scaffold
3y	25747.76 	scaffold
3y	25637.36 	scaffold
3y	25600.00 	scaffold
20y	25520.00 	scaffold
3y	25500.00 	scaffold
3y	25475.94 	scaffold
3y	25400.00 	scaffold
3y	25378.18 	scaffold
20y	25370.00 	scaffold
3y	25260.00 	scaffold
3y	25150.00 	scaffold
3y	25150.00 	scaffold
20y	25130.00 	scaffold
3y	25070.00 	scaffold
3y	24660.00 	scaffold
3y	24641.00 	scaffold
3y	24550.26 	scaffold
20y	24500.00 	scaffold
20y	24500.00 	scaffold
3y	24410.00 	scaffold
20y	24400.00 	scaffold
3y	24340.00 	scaffold
3y	24200.00 	scaffold
3y	24100.00 	scaffold
3y	24100.00 	scaffold
3y	24000.00 	scaffold
20y	24000.00 	scaffold
3y	24000.00 	scaffold
3y	23920.00 	scaffold
3y	23893.80 	scaffold
3y	23820.00 	scaffold
3y	23800.00 	scaffold
3y	23800.00 	scaffold
20y	23700.00 	scaffold
20y	23500.00 	scaffold
20y	23450.00 	scaffold
20y	23440.00 	scaffold
3y	23373.59 	scaffold
3y	23200.00 	scaffold
3y	23100.00 	scaffold
3y	23016.24 	scaffold
3y	22951.48 	scaffold
20y	22900.00 	scaffold
3y	22856.00 	scaffold
3y	22800.00 	scaffold
20y	22800.00 	scaffold
20y	22780.00 	scaffold
3y	22766.89 	scaffold
20y	22700.00 	scaffold
3y	22573.60 	scaffold
3y	22555.00 	scaffold
20y	22410.00 	scaffold
3y	22200.00 	scaffold
3y	22152.92 	scaffold
3y	22146.50 	scaffold
3y	22112.86 	scaffold
3y	22100.00 	scaffold
3y	22090.00 	scaffold
3y	21996.18 	scaffold
20y	21900.00 	scaffold
3y	21870.00 	scaffold
3y	21832.00 	scaffold
3y	21809.62 	scaffold
20y	21800.00 	scaffold
3y	21700.00 	scaffold
20y	21700.00 	scaffold
3y	21690.00 	scaffold
3y	21650.00 	scaffold
3y	21600.00 	scaffold
3y	21555.00 	scaffold
20y	21510.00 	scaffold
3y	21500.00 	scaffold
3y	21500.00 	scaffold
3y	21500.00 	scaffold
20y	21280.00 	scaffold
20y	21220.00 	scaffold
3y	21206.24 	scaffold
3y	21090.00 	scaffold
3y	21000.00 	scaffold
3y	20900.00 	scaffold
3y	20860.93 	scaffold
3y	20800.00 	scaffold
20y	20730.00 	scaffold
3y	20700.00 	scaffold
3y	20690.00 	scaffold
3y	20500.00 	scaffold
20y	20500.00 	scaffold
20y	20480.00 	scaffold
20y	20459.00 	scaffold
20y	20440.00 	scaffold
20y	20340.00 	scaffold
3y	20331.46 	scaffold
20y	20300.00 	scaffold
3y	20279.47 	scaffold
20y	20110.00 	scaffold
3y	20104.00 	scaffold
3y	19847.00 	scaffold
20y	19700.00 	scaffold
3y	19689.00 	scaffold
20y	19600.00 	scaffold
3y	19590.00 	scaffold
3y	19550.00 	scaffold
3y	19530.79 	scaffold
3y	19492.00 	scaffold
3y	19430.00 	scaffold
3y	19400.00 	scaffold
20y	19300.00 	scaffold
20y	19230.00 	scaffold
3y	19100.00 	scaffold
3y	19000.00 	scaffold
3y	18950.00 	scaffold
3y	18920.00 	scaffold
3y	18900.00 	scaffold
20y	18840.00 	scaffold
3y	18800.00 	scaffold
20y	18700.00 	scaffold
20y	18660.00 	scaffold
3y	18633.39 	scaffold
3y	18595.00 	scaffold
3y	18396.00 	scaffold
3y	18311.00 	scaffold
3y	18280.00 	scaffold
3y	18200.00 	scaffold
3y	18160.00 	scaffold
20y	17920.00 	scaffold
3y	17800.00 	scaffold
3y	17728.41 	scaffold
3y	17615.38 	scaffold
3y	17610.00 	scaffold
20y	17600.00 	scaffold
3y	17571.30 	scaffold
20y	17500.00 	scaffold
3y	17400.00 	scaffold
20y	17350.00 	scaffold
3y	17280.00 	scaffold
20y	17280.00 	scaffold
3y	17154.88 	scaffold
3y	17085.00 	scaffold
3y	16874.24 	scaffold
20y	16800.00 	scaffold
3y	16430.00 	scaffold
20y	16430.00 	scaffold
20y	16400.00 	scaffold
3y	16120.00 	scaffold
3y	15933.28 	scaffold
3y	15700.00 	scaffold
3y	15690.00 	scaffold
3y	15600.00 	scaffold
20y	15500.00 	scaffold
3y	15450.00 	scaffold
3y	15423.97 	scaffold
20y	15390.00 	scaffold
3y	15370.00 	scaffold
3y	15198.12 	scaffold
3y	15150.00 	scaffold
20y	15100.00 	scaffold
3y	15080.00 	scaffold
3y	15051.31 	scaffold
20y	15020.00 	scaffold
3y	14963.00 	scaffold
20y	14944.00 	scaffold
3y	14605.93 	scaffold
3y	14600.00 	scaffold
3y	14510.00 	scaffold
3y	14406.32 	scaffold
3y	14234.89 	scaffold
3y	14200.00 	scaffold
3y	14170.00 	scaffold
3y	14150.00 	scaffold
3y	14100.00 	scaffold
20y	13980.00 	scaffold
20y	13980.00 	scaffold
3y	13850.00 	scaffold
3y	13672.34 	scaffold
3y	13614.96 	scaffold
3y	13600.00 	scaffold
3y	13570.00 	scaffold
20y	13520.00 	scaffold
20y	13400.00 	scaffold
3y	13310.00 	scaffold
20y	13150.00 	scaffold
3y	13020.00 	scaffold
3y	12900.00 	scaffold
3y	12860.00 	scaffold
3y	12848.00 	scaffold
3y	12800.61 	scaffold
3y	12790.00 	scaffold
3y	12740.00 	scaffold
20y	12700.00 	scaffold
20y	12560.00 	scaffold
3y	12510.00 	scaffold
3y	12500.00 	scaffold
20y	12350.00 	scaffold
3y	12300.00 	scaffold
3y	12300.00 	scaffold
3y	12241.00 	scaffold
3y	12095.00 	scaffold
3y	12030.00 	scaffold
3y	11931.00 	scaffold
20y	11860.00 	scaffold
20y	11800.00 	scaffold
3y	11730.00 	scaffold
3y	11660.00 	scaffold
3y	11610.00 	scaffold
20y	11500.00 	scaffold
3y	11408.00 	scaffold
3y	11300.00 	scaffold
3y	11300.00 	scaffold
3y	11276.00 	scaffold
3y	11091.22 	scaffold
3y	11020.00 	scaffold
3y	10906.00 	scaffold
3y	10800.00 	scaffold
3y	10800.00 	scaffold
20y	10741.00 	scaffold
3y	10559.00 	scaffold
20y	10390.00 	scaffold
20y	10330.00 	scaffold
3y	10320.00 	scaffold
3y	10307.00 	scaffold
20y	10200.00 	scaffold
20y	10030.00 	scaffold
3y	9850.00 	scaffold
3y	9730.00 	scaffold
3y	9560.00 	scaffold
20y	9480.00 	scaffold
3y	9450.00 	scaffold
20y	9250.00 	scaffold
3y	9083.00 	scaffold
3y	8980.00 	scaffold
20y	8900.00 	scaffold
3y	8710.00 	scaffold
20y	8700.00 	scaffold
20y	8681.56 	scaffold
3y	8640.00 	scaffold
20y	8640.00 	scaffold
3y	8620.00 	scaffold
3y	8510.88 	scaffold
3y	8470.00 	scaffold
20y	8300.00 	scaffold
3y	8258.00 	scaffold
20y	8240.00 	scaffold
3y	8200.00 	scaffold
20y	8132.55 	scaffold
3y	8100.00 	scaffold
3y	8020.00 	scaffold
3y	7854.76 	scaffold
3y	7689.00 	scaffold
3y	7630.00 	scaffold
20y	7600.00 	scaffold
3y	7500.00 	scaffold
20y	7470.00 	scaffold
20y	7100.00 	scaffold
3y	7040.00 	scaffold
20y	7000.00 	scaffold
20y	6950.00 	scaffold
20y	6900.00 	scaffold
20y	6900.00 	scaffold
3y	6863.00 	scaffold
20y	6830.00 	scaffold
3y	6730.00 	scaffold
3y	6560.00 	scaffold
20y	6500.00 	scaffold
20y	6130.00 	scaffold
20y	6090.00 	scaffold
3y	6060.00 	scaffold
20y	6000.00 	scaffold
3y	6000.00 	scaffold
20y	5980.00 	scaffold
20y	5950.00 	scaffold
3y	5835.65 	scaffold
3y	5650.00 	scaffold
3y	5636.70 	scaffold
20y	5600.00 	scaffold
3y	5600.00 	scaffold
3y	5530.00 	scaffold
20y	5520.00 	scaffold
20y	5500.00 	scaffold
3y	5420.00 	scaffold
20y	5400.00 	scaffold
3y	5400.00 	scaffold
3y	5390.00 	scaffold
3y	5370.00 	scaffold
20y	5290.00 	scaffold
20y	5289.00 	scaffold
3y	5200.00 	scaffold
20y	5160.00 	scaffold
3y	5100.00 	scaffold
3y	5090.00 	scaffold
3y	5070.00 	scaffold
20y	5050.00 	scaffold
20y	5050.00 	scaffold
3y	5000.00 	scaffold
20y	4900.00 	scaffold
20y	4900.00 	scaffold
3y	4680.00 	scaffold
20y	4680.00 	scaffold
20y	4650.00 	scaffold
3y	4530.00 	scaffold
3y	4500.00 	scaffold
3y	4500.00 	scaffold
3y	4479.75 	scaffold
20y	4440.00 	scaffold
20y	4430.00 	scaffold
3y	4430.00 	scaffold
3y	4300.00 	scaffold
3y	4300.00 	scaffold
3y	4251.92 	scaffold
3y	4230.00 	scaffold
20y	4200.00 	scaffold
3y	4200.00 	scaffold
20y	4140.00 	scaffold
20y	4130.00 	scaffold
20y	4090.00 	scaffold
3y	4080.00 	scaffold
20y	4000.00 	scaffold
20y	4000.00 	scaffold
3y	4000.00 	scaffold
3y	3910.00 	scaffold
3y	3870.00 	scaffold
3y	3870.00 	scaffold
20y	3840.00 	scaffold
3y	3820.00 	scaffold
20y	3800.00 	scaffold
20y	3760.00 	scaffold
3y	3734.90 	scaffold
20y	3700.00 	scaffold
3y	3700.00 	scaffold
20y	3690.00 	scaffold
20y	3670.00 	scaffold
20y	3590.00 	scaffold
20y	3530.00 	scaffold
3y	3510.00 	scaffold
20y	3504.72 	scaffold
3y	3460.00 	scaffold
20y	3430.00 	scaffold
3y	3410.00 	scaffold
20y	3400.00 	scaffold
20y	3400.00 	scaffold
20y	3360.00 	scaffold
20y	3300.00 	scaffold
20y	3300.00 	scaffold
20y	3300.00 	scaffold
20y	3300.00 	scaffold
3y	3200.00 	scaffold
3y	3170.00 	scaffold
20y	3120.00 	scaffold
3y	3111.00 	scaffold
20y	3100.00 	scaffold
20y	3100.00 	scaffold
20y	3054.00 	scaffold
3y	3040.00 	scaffold
3y	3038.16 	scaffold
20y	3029.00 	scaffold
20y	3020.00 	scaffold
20y	3000.00 	scaffold
20y	2995.00 	scaffold
20y	2980.00 	scaffold
20y	2930.00 	scaffold
3y	2900.00 	scaffold
3y	2896.84 	scaffold
3y	2890.00 	scaffold
20y	2880.00 	scaffold
3y	2821.00 	scaffold
3y	2818.00 	scaffold
3y	2802.13 	scaffold
20y	2800.00 	scaffold
20y	2760.00 	scaffold
3y	2750.00 	scaffold
3y	2750.00 	scaffold
20y	2700.00 	scaffold
3y	2631.00 	scaffold
20y	2620.00 	scaffold
3y	2600.00 	scaffold
3y	2540.00 	scaffold
3y	2500.00 	scaffold
20y	2500.00 	scaffold
20y	2500.00 	scaffold
20y	2480.00 	scaffold
20y	2470.00 	scaffold
20y	2450.00 	scaffold
3y	2430.00 	scaffold
3y	2420.00 	scaffold
20y	2413.00 	scaffold
20y	2400.00 	scaffold
20y	2400.00 	scaffold
3y	2400.00 	scaffold
20y	2380.00 	scaffold
20y	2355.00 	scaffold
3y	2320.00 	scaffold
3y	2318.65 	scaffold
20y	2310.00 	scaffold
20y	2300.00 	scaffold
20y	2300.00 	scaffold
20y	2284.00 	scaffold
3y	2276.00 	scaffold
20y	2260.00 	scaffold
3y	2255.73 	scaffold
3y	2240.00 	scaffold
20y	2190.00 	scaffold
20y	2170.00 	scaffold
20y	2170.00 	scaffold
20y	2160.00 	scaffold
20y	2160.00 	scaffold
20y	2130.00 	scaffold
20y	2120.00 	scaffold
20y	2116.00 	scaffold
3y	2102.00 	scaffold
20y	2100.00 	scaffold
20y	2090.00 	scaffold
20y	2090.00 	scaffold
3y	2078.64 	scaffold
20y	2065.00 	scaffold
20y	2060.00 	scaffold
20y	2000.00 	scaffold
20y	2000.00 	scaffold
3y	1993.05 	scaffold
20y	1970.00 	scaffold
3y	1954.00 	scaffold
20y	1945.25 	scaffold
3y	1931.00 	scaffold
20y	1910.00 	scaffold
20y	1900.00 	scaffold
3y	1900.00 	scaffold
20y	1890.00 	scaffold
20y	1880.00 	scaffold
20y	1850.00 	scaffold
20y	1830.00 	scaffold
3y	1826.00 	scaffold
3y	1810.00 	scaffold
20y	1800.00 	scaffold
20y	1800.00 	scaffold
20y	1800.00 	scaffold
3y	1766.90 	scaffold
20y	1760.00 	scaffold
20y	1760.00 	scaffold
20y	1752.00 	scaffold
3y	1717.00 	scaffold
20y	1700.00 	scaffold
20y	1700.00 	scaffold
20y	1700.00 	scaffold
20y	1700.00 	scaffold
20y	1690.00 	scaffold
20y	1670.00 	scaffold
3y	1665.73 	scaffold
20y	1661.00 	scaffold
3y	1656.19 	scaffold
3y	1644.94 	scaffold
20y	1640.00 	scaffold
20y	1630.00 	scaffold
20y	1630.00 	scaffold
20y	1600.00 	scaffold
20y	1600.00 	scaffold
3y	1600.00 	scaffold
20y	1600.00 	scaffold
20y	1580.00 	scaffold
3y	1578.60 	scaffold
3y	1567.29 	scaffold
20y	1542.00 	scaffold
20y	1520.00 	scaffold
20y	1506.96 	scaffold
20y	1500.00 	scaffold
20y	1500.00 	scaffold
20y	1500.00 	scaffold
20y	1500.00 	scaffold
20y	1500.00 	scaffold
20y	1500.00 	scaffold
20y	1500.00 	scaffold
20y	1500.00 	scaffold
20y	1480.00 	scaffold
20y	1460.00 	scaffold
20y	1444.00 	scaffold
3y	1434.00 	scaffold
20y	1430.00 	scaffold
3y	1426.00 	scaffold
20y	1422.00 	scaffold
20y	1420.00 	scaffold
20y	1400.00 	scaffold
20y	1400.00 	scaffold
20y	1390.00 	scaffold
20y	1390.00 	scaffold
20y	1383.40 	scaffold
20y	1380.00 	scaffold
20y	1360.00 	scaffold
20y	1350.00 	scaffold
20y	1318.00 	scaffold
20y	1310.15 	scaffold
20y	1300.00 	scaffold
20y	1300.00 	scaffold
20y	1300.00 	scaffold
20y	1300.00 	scaffold
20y	1300.00 	scaffold
20y	1290.00 	scaffold
3y	1290.00 	scaffold
20y	1280.00 	scaffold
3y	1272.00 	scaffold
20y	1270.00 	scaffold
20y	1270.00 	scaffold
20y	1270.00 	scaffold
20y	1260.00 	scaffold
3y	1260.00 	scaffold
