Year	ContigN50	Type
3y	20924.68 	pan-genome
3y	20900.00 	pan-genome
3y	20819.16 	pan-genome
3y	20718.91 	pan-genome
3y	20600.00 	T2T
3y	20595.80 	pan-genome
3y	20456.30 	pan-genome
3y	20300.00 	pan-genome
3y	20272.63 	pan-genome
3y	20100.00 	pan-genome
3y	19844.74 	haplotype
3y	19807.09 	pan-genome
3y	19800.00 	pan-genome
3y	19769.89 	pan-genome
3y	19724.62 	pan-genome
3y	19706.06 	pan-genome
3y	19642.50 	pan-genome
3y	19254.05 	pan-genome
3y	19105.40 	pan-genome
3y	19070.70 	pan-genome
3y	19000.00 	T2T
3y	19000.00 	haplotype
3y	18890.98 	pan-genome
20y	18880.00 	pan-genome
20y	18880.00 	haplotype
3y	18869.15 	haplotype
3y	18842.62 	pan-genome
3y	18824.25 	pan-genome
3y	18780.00 	haplotype
3y	18720.00 	pan-genome
3y	18700.00 	haplotype
3y	18619.26 	pan-genome
3y	18608.30 	pan-genome
3y	18582.14 	T2T
3y	18582.14 	haplotype
3y	18402.06 	pan-genome
3y	18184.00 	pan-genome
3y	18163.48 	pan-genome
3y	18099.62 	pan-genome
3y	18040.67 	pan-genome
3y	18029.96 	pan-genome
3y	18000.00 	haplotype
3y	18000.00 	T2T
3y	18000.00 	haplotype
3y	17826.74 	pan-genome
3y	17700.00 	pan-genome
3y	17700.00 	pan-genome
3y	17560.00 	pan-genome
3y	17510.15 	pan-genome
3y	17319.78 	pan-genome
3y	17305.20 	pan-genome
3y	17300.00 	pan-genome
3y	17250.85 	pan-genome
3y	17240.59 	pan-genome
3y	17122.99 	pan-genome
3y	17089.19 	pan-genome
3y	17061.70 	pan-genome
3y	17000.00 	pan-genome
3y	16896.91 	pan-genome
3y	16886.62 	pan-genome
3y	16800.00 	pan-genome
3y	16791.83 	pan-genome
3y	16693.85 	pan-genome
3y	16578.51 	pan-genome
3y	16527.12 	T2T
3y	16527.12 	haplotype
3y	16446.63 	pan-genome
3y	16177.70 	pan-genome
3y	16149.41 	pan-genome
3y	16146.75 	pan-genome
3y	16129.54 	pan-genome
3y	16111.91 	pan-genome
3y	16016.88 	pan-genome
3y	15993.98 	pan-genome
3y	15991.25 	pan-genome
3y	15888.19 	pan-genome
3y	15801.64 	pan-genome
3y	15717.00 	pan-genome
3y	15650.82 	pan-genome
3y	15595.85 	pan-genome
3y	15538.00 	pan-genome
3y	15533.27 	pan-genome
3y	15526.37 	pan-genome
3y	15500.29 	pan-genome
3y	15499.01 	pan-genome
3y	15490.00 	pan-genome
3y	15455.72 	pan-genome
3y	15450.25 	pan-genome
3y	15443.51 	pan-genome
3y	15394.80 	pan-genome
3y	15391.39 	pan-genome
3y	15304.95 	haplotype
3y	15304.95 	haplotype
3y	15250.01 	pan-genome
3y	15200.00 	pan-genome
3y	15200.00 	pan-genome
3y	15100.00 	pan-genome
3y	15094.10 	pan-genome
3y	15051.48 	pan-genome
3y	14994.82 	pan-genome
3y	14900.00 	pan-genome
3y	14878.00 	pan-genome
3y	14773.75 	pan-genome
3y	14770.72 	pan-genome
3y	14616.44 	pan-genome
3y	14610.00 	pan-genome
3y	14600.00 	pan-genome
3y	14588.79 	pan-genome
3y	14491.66 	pan-genome
3y	14464.86 	pan-genome
3y	14464.07 	pan-genome
3y	14407.05 	pan-genome
3y	14372.82 	pan-genome
3y	14365.35 	pan-genome
3y	14349.95 	pan-genome
3y	14300.00 	haplotype
3y	14270.00 	pan-genome
3y	14237.18 	pan-genome
3y	14200.00 	haplotype
3y	14173.18 	pan-genome
3y	14152.77 	pan-genome
3y	14130.34 	pan-genome
3y	14110.00 	pan-genome
3y	14108.48 	pan-genome
