Year	ContigN50	Type
3y	824.00 	pan-genome
3y	818.31 	pan-genome
3y	817.52 	pan-genome
3y	802.25 	pan-genome
20y	801.00 	haplotype
3y	800.00 	pan-genome
3y	800.00 	pan-genome
3y	800.00 	haplotype
3y	800.00 	haplotype
3y	777.00 	pan-genome
3y	777.00 	pan-genome
3y	751.66 	pan-genome
3y	737.60 	pan-genome
3y	733.27 	pan-genome
3y	724.53 	pan-genome
3y	721.40 	pan-genome
3y	716.09 	pan-genome
3y	706.00 	pan-genome
3y	706.00 	pan-genome
3y	691.00 	pan-genome
3y	689.00 	pan-genome
3y	688.59 	pan-genome
3y	680.00 	pan-genome
3y	680.00 	pan-genome
3y	680.00 	haplotype
3y	680.00 	haplotype
3y	678.00 	pan-genome
3y	671.00 	pan-genome
3y	668.76 	pan-genome
3y	651.00 	pan-genome
3y	634.00 	pan-genome
3y	631.00 	pan-genome
3y	629.00 	haplotype
3y	612.48 	pan-genome
3y	600.00 	pan-genome
3y	593.09 	pan-genome
3y	584.54 	pan-genome
3y	579.00 	pan-genome
3y	570.00 	pan-genome
3y	570.00 	pan-genome
3y	570.00 	haplotype
3y	570.00 	haplotype
3y	546.00 	pan-genome
3y	538.00 	pan-genome
3y	535.06 	pan-genome
3y	517.00 	pan-genome
3y	515.00 	pan-genome
3y	513.80 	pan-genome
3y	513.74 	pan-genome
3y	508.82 	pan-genome
3y	504.00 	pan-genome
3y	503.59 	pan-genome
3y	498.00 	pan-genome
3y	490.25 	pan-genome
3y	490.00 	pan-genome
3y	490.00 	pan-genome
3y	490.00 	haplotype
3y	490.00 	haplotype
3y	487.30 	pan-genome
3y	485.00 	pan-genome
3y	479.00 	pan-genome
3y	473.55 	pan-genome
3y	473.38 	pan-genome
3y	468.00 	pan-genome
3y	465.20 	pan-genome
3y	462.55 	pan-genome
3y	460.18 	pan-genome
3y	459.46 	pan-genome
3y	459.40 	pan-genome
3y	456.28 	pan-genome
3y	449.00 	pan-genome
3y	448.37 	pan-genome
3y	443.13 	pan-genome
3y	438.21 	pan-genome
3y	437.98 	pan-genome
3y	435.04 	pan-genome
3y	425.00 	haplotype
3y	425.00 	pan-genome
3y	421.43 	pan-genome
3y	419.08 	pan-genome
3y	414.38 	pan-genome
3y	408.00 	pan-genome
3y	407.00 	pan-genome
3y	406.75 	pan-genome
3y	402.33 	pan-genome
3y	397.98 	pan-genome
3y	397.31 	pan-genome
3y	385.21 	pan-genome
3y	382.94 	pan-genome
3y	382.84 	pan-genome
3y	382.00 	pan-genome
3y	370.00 	haplotype
3y	359.64 	pan-genome
3y	342.00 	pan-genome
3y	336.75 	pan-genome
3y	336.00 	pan-genome
3y	326.27 	pan-genome
3y	324.00 	pan-genome
3y	314.15 	pan-genome
3y	313.69 	pan-genome
3y	312.68 	pan-genome
3y	310.00 	pan-genome
3y	310.00 	pan-genome
3y	310.00 	haplotype
3y	310.00 	haplotype
3y	299.05 	pan-genome
20y	294.00 	pan-genome
3y	290.02 	pan-genome
3y	288.99 	pan-genome
3y	273.00 	pan-genome
3y	272.00 	pan-genome
3y	259.20 	pan-genome
3y	253.52 	pan-genome
3y	250.00 	pan-genome
3y	227.79 	pan-genome
3y	217.63 	pan-genome
3y	185.09 	pan-genome
3y	163.71 	pan-genome
20y	155.50 	pan-genome
3y	143.83 	pan-genome
3y	139.43 	pan-genome
3y	126.88 	pan-genome
3y	125.00 	pan-genome
20y	116.80 	haplotype
3y	116.48 	pan-genome
3y	102.00 	pan-genome
20y	97.58 	haplotype
3y	87.13 	pan-genome
3y	78.00 	pan-genome
3y	77.00 	pan-genome
3y	75.81 	pan-genome
3y	71.00 	pan-genome
20y	69.35 	haplotype
3y	64.00 	pan-genome
20y	60.51 	haplotype
3y	60.00 	pan-genome
3y	56.71 	pan-genome
3y	55.00 	pan-genome
3y	54.00 	pan-genome
3y	54.00 	pan-genome
3y	53.00 	pan-genome
3y	45.88 	pan-genome
3y	45.44 	pan-genome
3y	44.90 	pan-genome
3y	42.13 	pan-genome
3y	40.32 	pan-genome
3y	38.96 	pan-genome
3y	36.03 	pan-genome
3y	35.15 	pan-genome
3y	30.36 	pan-genome
3y	29.52 	pan-genome
3y	29.50 	pan-genome
20y	26.64 	haplotype
20y	25.20 	pan-genome
3y	24.90 	pan-genome
3y	24.74 	pan-genome
3y	23.61 	pan-genome
3y	23.59 	pan-genome
3y	23.38 	pan-genome
3y	20.71 	pan-genome
3y	18.63 	pan-genome
3y	18.25 	pan-genome
3y	18.15 	pan-genome
3y	17.77 	pan-genome
3y	16.00 	pan-genome
20y	15.98 	pan-genome
20y	15.82 	pan-genome
3y	15.62 	pan-genome
3y	15.00 	pan-genome
3y	13.00 	pan-genome
3y	13.00 	pan-genome
3y	12.50 	pan-genome
3y	12.37 	pan-genome
3y	12.00 	pan-genome
3y	12.00 	pan-genome
3y	12.00 	pan-genome
3y	12.00 	pan-genome
3y	12.00 	pan-genome
20y	10.39 	pan-genome
3y	10.18 	pan-genome
20y	9.66 	pan-genome
20y	8.15 	pan-genome
20y	7.45 	pan-genome
20y	7.31 	pan-genome
20y	6.88 	pan-genome
20y	6.02 	pan-genome
20y	5.96 	pan-genome
20y	5.65 	haplotype
20y	5.55 	pan-genome
20y	5.44 	pan-genome
20y	5.41 	pan-genome
20y	5.28 	pan-genome
20y	4.58 	pan-genome
20y	4.35 	pan-genome
20y	4.18 	pan-genome
20y	4.04 	pan-genome
20y	3.95 	pan-genome
20y	3.26 	pan-genome
20y	3.00 	pan-genome
20y	2.76 	pan-genome
20y	2.65 	pan-genome
20y	1.99 	pan-genome
