Genomesize	ContigN50	Platform
584.88	19844.74	HiFi
566.00	19800.00	HiFi
3360.00	19750.00	Other_TGS
2310.00	19650.00	Other_TGS
365.70	19600.00	Other_TGS
397.70	19500.00	Other_TGS
622.95	19420.00	HiFi
2482.00	19400.00	Other_TGS
762.60	19023.00	NGS
606.10	19000.00	ultra-long_ONT
620.37	18988.43	HiFi
570.00	18949.97	HiFi
381.27	18930.00	Other_TGS
637.71	18920.00	Other_TGS
637.46	18869.15	HiFi
3155.39	18780.00	HiFi
1510.00	18700.00	HiFi
422.39	18590.00	Other_TGS
470.21	18582.14	HiFi
439.90	18490.00	Other_TGS
339.15	18400.00	Other_TGS
280.20	18310.00	Other_TGS
3053.50	18300.00	Other_TGS
475.64	18260.00	Other_TGS
821.60	18255.00	NGS
216.87	18250.00	Other_TGS
1134.00	18230.00	Other_TGS
1295.75	18220.00	HiFi
894.60	18200.00	Other_TGS
231.21	18100.98	HiFi
965.80	18000.00	Other_TGS
762.00	18000.00	HiFi
599.60	18000.00	ultra-long_ONT
213.47	17860.00	HiFi
700.60	17819.62	Other_TGS
4246.44	17703.04	HiFi
518.19	17620.00	Other_TGS
507.00	17600.00	Other_TGS
3028.00	17500.00	Other_TGS
439.00	17500.00	Other_TGS
395.00	17400.00	Other_TGS
511.49	17340.00	Other_TGS
741.60	17310.00	Other_TGS
14700.00	17300.00	HiFi
823.40	17300.00	Other_TGS
1182.37	17260.00	Other_TGS
16400.00	17100.00	Other_TGS
750.19	17040.00	Other_TGS
1424.00	17000.00	Other_TGS
1190.00	16980.00	HiFi
381.19	16970.00	Other_TGS
1266.84	16936.78	HiFi
495.60	16880.00	HiFi
621.27	16860.00	HiFi
707.42	16770.00	Other_TGS
328.10	16660.00	Other_TGS
328.00	16657.00	Other_TGS
568.90	16644.00	NGS
469.83	16527.12	HiFi
528.50	16500.00	Other_TGS
477.35	16300.00	HiFi
4830.00	16220.00	Other_TGS
861.90	16200.00	HiFi
361.70	16071.00	Other_TGS
443.80	15800.00	Other_TGS
381.00	15800.00	Other_TGS
379.20	15800.00	Other_TGS
379.10	15800.00	Other_TGS
377.20	15800.00	Other_TGS
2160.00	15780.00	Other_TGS
383.20	15700.00	Other_TGS
519.23	15670.00	Other_TGS
2191.00	15430.00	Other_TGS
598.60	15400.00	Other_TGS
382.64	15360.00	HiFi
1280.00	15326.68	HiFi
484.00	15310.00	Other_TGS
1009.40	15304.95	HiFi
998.25	15304.95	HiFi
1110.00	15300.00	Other_TGS
378.60	15200.00	Other_TGS
2756.03	15196.10	HiFi
394.00	15164.00	Other_TGS
466.11	15150.00	HiFi
749.58	15070.00	Other_TGS
255.80	14980.00	Other_TGS
367.67	14850.00	Other_TGS
437.29	14728.20	Other_TGS
389.00	14560.00	Other_TGS
2159.50	14500.00	Other_TGS
13489.13	14342.62	Other_TGS
787.80	14300.00	HiFi
2390.00	14297.00	Other_TGS
769.20	14200.00	HiFi
550.00	14140.00	Other_TGS
487.70	14100.00	HiFi
1096.00	14000.00	HiFi
379.20	14000.00	Other_TGS
698.20	13886.54	HiFi
463.97	13770.00	HiFi
210.25	13701.39	Other_TGS
379.60	13700.00	Other_TGS
1694.85	13656.03	HiFi
479.90	13520.00	HiFi
309.40	13482.10	HiFi
350.30	13400.00	Other_TGS
894.00	13370.00	Other_TGS
1417.94	13334.49	Other_TGS
675.28	13320.00	HiFi
526.00	13300.00	HiFi
526.00	13300.00	HiFi
472.29	13290.00	Other_TGS
399.80	13200.00	Other_TGS
947.84	13160.00	Other_TGS
2290.00	13150.00	Other_TGS
391.01	13060.00	Other_TGS
423.00	13000.00	HiFi
123.90	13000.00	Other_TGS
3698.59	12914.00	HiFi
6270.00	12800.00	Other_TGS
207.00	12740.00	HiFi
3960.77	12682.46	Other_TGS
3100.00	12680.00	Other_TGS
526.80	12600.00	Other_TGS
134.60	12600.00	HiFi
417.65	12520.00	Other_TGS
380.10	12500.00	Other_TGS
1190.00	12384.00	HiFi
859.90	12320.00	HiFi
119.50	12300.00	Other_TGS
634.58	12232.78	Other_TGS
823.00	12206.00	Other_TGS
385.90	12200.00	Other_TGS
246.00	12140.00	Other_TGS
2254.77	12139.91	Other_TGS
392.00	12120.00	HiFi
8070.00	12110.00	Other_TGS
455.50	12100.00	Other_TGS
10500.00	12092.86	Other_TGS
282.64	12040.00	HiFi
399.80	12000.00	HiFi
399.90	11990.00	HiFi
2230.00	11978.00	Other_TGS
1324.00	11930.00	Other_TGS
382.00	11907.00	Other_TGS
127.20	11900.00	Other_TGS
441.00	11869.77	HiFi
364.05	11860.00	HiFi
347.23	11840.00	Other_TGS
470.36	11800.00	HiFi
2281.00	11740.00	Other_TGS
1620.00	11690.00	Other_TGS
1200.00	11650.00	Other_TGS
735.70	11625.27	Other_TGS
471.95	11600.00	HiFi
336.00	11590.00	Other_TGS
351.50	11500.00	Other_TGS
239.10	11500.00	Other_TGS
239.10	11500.00	Other_TGS
2292.48	11490.00	Other_TGS
984.21	11430.00	HiFi
480.43	11330.00	HiFi
300.50	11323.39	Other_TGS
839.90	11300.00	HiFi
502.60	11300.00	HiFi
914.77 	11270.00	Other_TGS
1580.00	11210.00	Other_TGS
297.00	11210.00	Other_TGS
297.00	11200.00	Other_TGS
126.10	11200.00	Other_TGS
1826.15	11117.30	Other_TGS
6800.00	11100.00	HiFi
557.00	11100.00	Other_TGS
785.00	11038.00	Other_TGS
457.53	11020.00	Other_TGS
662.80	11000.00	Other_TGS
426.20	11000.00	Other_TGS
258.28	10907.64	HiFi
807.60	10900.00	Other_TGS
519.40	10900.00	Other_TGS
860.00	10800.00	HiFi
621.98	10800.00	Other_TGS
1670.00	10750.00	Other_TGS
4630.00	10740.00	Other_TGS
784.00	10738.00	Other_TGS
420.70	10737.91	HiFi
240.58	10700.00	Other_TGS
124.60	10700.00	Other_TGS
399.00	10657.00	Other_TGS
229.59	10640.00	HiFi
1800.00	10600.00	HiFi
302.60	10600.00	Other_TGS
439.66	10557.15	Other_TGS
270.21	10510.00	Other_TGS
475.19	10340.00	Other_TGS
335.13	10320.00	Other_TGS
284.88	10320.00	Other_TGS
1020.00	10300.00	Other_TGS
406.55	10281.54	Other_TGS
373.31	10260.00	HiFi
481.51	10255.89	Other_TGS
413.00	10226.00	HiFi
808.80	10120.00	Other_TGS
306.20	10100.00	Other_TGS
2193.00	10000.00	Other_TGS
302.99	10000.00	Other_TGS
3876.90	9973.50	Other_TGS
538.06	9920.00	Other_TGS
122.70	9900.00	Other_TGS
266.00	9899.00	Other_TGS
1260.00	9850.00	Other_TGS
805.60	9849.00	Other_TGS
1230.00	9830.00	HiFi
223.08	9830.00	Other_TGS
1360.00	9800.00	Other_TGS
1470.00	9790.00	HiFi
790.00	9730.00	Other_TGS
299.00	9700.00	Other_TGS
232.77	9680.00	Other_TGS
396.00	9640.00	Other_TGS
1158.97	9636.08	Other_TGS
315.30	9600.00	Other_TGS
240.24	9600.00	Other_TGS
2278.34	9510.00	Other_TGS
554.00	9500.00	Other_TGS
339.00	9500.00	Other_TGS
804.50	9480.00	Other_TGS
656.19	9440.00	Other_TGS
378.00	9380.00	Other_TGS
274.53	9360.00	HiFi
367.90	9340.00	Other_TGS
2210.00	9240.00	Other_TGS
5640.00	9160.00	Other_TGS
2799.20	9100.00	Other_TGS
2183.00	9100.00	Other_TGS
555.94	9080.00	Other_TGS
890.00	9012.84	HiFi
392.00	8984.00	Other_TGS
316.00	8960.00	Other_TGS
232.68	8910.00	Other_TGS
824.20	8900.00	HiFi
451.00	8900.00	Other_TGS
380.10	8900.00	Other_TGS
226.20	8900.00	Other_TGS
381.80	8800.00	Other_TGS
10900.00	8600.00	Other_TGS
270.30	8510.00	Other_TGS
416.10	8500.00	Other_TGS
387.70	8500.00	Other_TGS
913.00	8400.00	HiFi
608.17	8400.00	Other_TGS
398.00	8393.00	Other_TGS
239.80	8301.00	Other_TGS
484.60	8300.00	Other_TGS
1300.00	8290.00	Other_TGS
212.21	8232.12	Other_TGS
737.03	8130.00	Other_TGS
239.23	8070.00	Other_TGS
528.66	8060.00	HiFi
547.00	8041.00	HiFi
1940.00	7970.00	Other_TGS
610.05	7950.00	HiFi
452.28	7930.00	Other_TGS
755.00	7909.00	Other_TGS
346.08	7900.00	Other_TGS
220.80	7900.00	Other_TGS
476.82	7808.52	Other_TGS
1210.00	7780.00	Other_TGS
2161.00	7700.00	Other_TGS
865.09	7600.00	HiFi
704.00	7600.00	Other_TGS
503.90	7600.00	Other_TGS
481.43	7600.00	Other_TGS
315.78	7570.00	Other_TGS
191.61	7550.00	Other_TGS
1246.98	7530.00	Other_TGS
269.24	7525.32	HiFi
506.00	7500.00	Other_TGS
1040.00	7490.00	Other_TGS
439.17	7440.00	Other_TGS
11274.00	7340.00	Other_TGS
1710.00	7330.00	HiFi
207.39	7325.66	Other_TGS
10477.06	7320.00	HiFi
737.47	7300.00	Other_TGS
3737.00	7298.00	Other_TGS
565.00	7285.00	HiFi
507.00	7280.00	Other_TGS
865.09	7200.00	HiFi
429.84	7200.00	Other_TGS
384.00	7200.00	Other_TGS
520.00	7170.00	Other_TGS
2760.00	7160.00	Other_TGS
550.31	7127.00	Other_TGS
1170.40	7100.00	Other_TGS
907.00	7100.00	Other_TGS
401.00	7021.00	Other_TGS
976.27	7020.00	Other_TGS
260.50	7000.00	Other_TGS
658.90	6990.00	Other_TGS
408.19	6970.00	Other_TGS
197.97	6960.00	Other_TGS
1790.00	6880.00	Other_TGS
236.53	6866.80	Other_TGS
236.53	6866.80	Other_TGS
329.00	6854.00	HiFi
3816.00	6830.00	Other_TGS
269.10	6799.00	Other_TGS
335.14	6783.95	Other_TGS
950.70	6740.00	HiFi
434.30	6614.00	Other_TGS
191.61	6604.03	Other_TGS
357.60	6600.00	Other_TGS
540.75	6596.16	Other_TGS
381.76	6570.00	Other_TGS
272.40	6556.00	Other_TGS
396.00	6555.00	Other_TGS
313.00	6538.00	Other_TGS
548.00	6490.00	Other_TGS
525.00	6490.00	Other_TGS
401.41	6410.96	Other_TGS
300.00	6400.53	Other_TGS
935.70	6400.00	Other_TGS
764.10	6400.00	HiFi
718.30	6360.00	Other_TGS
362.10	6343.00	Other_TGS
1200.00	6340.00	Other_TGS
456.18	6340.00	Other_TGS
21600.00	6300.00	HiFi
735.00	6300.00	Other_TGS
790.00	6260.00	Other_TGS
8030.00	6250.00	HiFi
695.00	6236.00	Other_TGS
512.60	6200.00	Other_TGS
447.00	6200.00	Other_TGS
682.14	6198.00	Other_TGS
377.97	6175.96	HiFi
782.52	6010.00	Other_TGS
309.62	6002.99	Other_TGS
281.00	6000.00	Other_TGS
2247.00	5990.00	Other_TGS
399.00	5925.38	No_info
399.00	5925.00	Other_TGS
638.26	5920.00	Other_TGS
3200.00	5823.30	HiFi
177.99	5740.00	Other_TGS
335.39	5720.00	Other_TGS
869.50	5700.00	Other_TGS
690.24	5700.00	HiFi
615.80	5650.00	Other_TGS
271.68	5650.00	HiFi
7519.00	5637.00	Other_TGS
